figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,alpha_clock,alpha_response,alpha_sum,clock_characteristic_time,response_characteristic_time,normalized_correlation,software_version
F3,0.005843414133735175,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0029160244559643944,1.0.0
F3,0.006072021956909884,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0030298753867022965,1.0.0
F3,0.006309573444801929,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0031481620558916346,1.0.0
F3,0.006556418494179785,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.003271056537725081,1.0.0
F3,0.006812920690579615,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0033987375221241622,1.0.0
F3,0.00707945784384138,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.003531390564343817,1.0.0
F3,0.007356422544596414,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0036692083436123957,1.0.0
F3,0.007644222742526002,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0038123909311047477,1.0.0
F3,0.007943282347242814,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0039611460675497145,1.0.0
F3,0.008254041852680182,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.004115689450784332,1.0.0
F3,0.008576958985908946,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.004276245033569714,1.0.0
F3,0.008912509381337459,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0044430453319959096,1.0.0
F3,0.009261187281287938,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.004616331744801472,1.0.0
F3,0.009623506263980888,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.004796354883950471,1.0.0
F3,0.01,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.004983374916805339,1.0.0
F3,0.01039122303835169,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0051776619202478225,1.0.0
F3,0.010797751623277093,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.005379496247101545,1.0.0
F3,0.011220184543019636,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.005589168905216435,1.0.0
F3,0.011659144011798317,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.005806981949578738,1.0.0
F3,0.012115276586285882,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.006033248887817089,1.0.0
F3,0.012589254117941675,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0062682950994741304,1.0.0
F3,0.013081774742601943,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.006512458269423038,1.0.0
F3,0.013593563908785255,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0067660888358013205,1.0.0
F3,0.01412537544622754,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.007029550452843258,1.0.0
F3,0.014677992676220698,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.00730322046899079,1.0.0
F3,0.01525222956539019,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.007587490420657428,1.0.0
F3,0.015848931924611134,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.007882766542022801,1.0.0
F3,0.01646897865482868,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.008189470291232404,1.0.0
F3,0.01711328304161781,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.008508038893366265,1.0.0
F3,0.01778279410038923,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.008838925900540917,1.0.0
F3,0.018478497974222907,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.009182601769496812,1.0.0
F3,0.01920141938638801,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.00953955445701371,1.0.0
F3,0.0199526231496888,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.009910290033485203,1.0.0
F3,0.02073321573485955,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.01029533331496657,1.0.0
F3,0.021544346900318832,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.01069522851399718,1.0.0
F3,0.0223872113856834,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.011110539909473083,1.0.0
F3,0.02326305067153626,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.011541852535825847,1.0.0
F3,0.024173154808041036,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.011989772891735528,1.0.0
F3,0.025118864315095794,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.012454929668577419,1.0.0
F3,0.026101572156825372,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.012937974498764104,1.0.0
F3,0.02712272579332028,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0134395827241095,1.0.0
F3,0.028183829312644536,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.013960454184297255,1.0.0
F3,0.02928644564625236,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.014501314025486711,1.0.0
F3,0.03043219887107722,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.015062913529034438,1.0.0
F3,0.03162277660168379,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.01564603096025652,1.0.0
F3,0.03285993247600654,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.01625147243707936,1.0.0
F3,0.034145488738336005,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.016880072818365566,1.0.0
F3,0.03548133892335755,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.017532696611612608,1.0.0
