tier,target_id,result_label,curve_rmse,standardized_curve_rmse,pointwise_normal_95_coverage,plateau_relative_shift,exact_overlap_rmse,measured_operational_innovation_correlation,minimum_boundary_edge_distance,maximum_boundary_candidate_count,software_version
reduced_reference,CNF-CLK-REF-01,recovered,0.006473887765636278,0.5184050267553877,1.0,0.0066670575166741805,0.0001617879075595833,0.7999999999999999,not_applicable,not_applicable,1.7.4
thick_boundary,CNF-CLK-LOB-01,qualified_nonconformity,0.032470653625572776,0.8153784961037635,0.95,0.026719211484000686,0.0008830413709782688,0.7999999999999997,9.802404087681968,1,1.7.4
