registered_spread,actual_spread,book_one_drift,book_two_drift,expected_book_one_drift,expected_book_two_drift,center_drift,observed_total_spread_rate,relative_total_rate_error,book_one_mode_integral,book_two_mode_integral,maximum_outer_coupling_abs,maximum_boundary_candidates,minimum_boundary_edge_distance,software_version
-0.08,-0.07995559908475901,0.09987804663421572,-0.09987804663421572,0.09994449885594876,-0.09994449885594876,0.0,2.498337771901028,0.0006648912395888828,0.028019731444263674,0.028019731444261953,0.0,1,9.9600222004576,1.7.6
-0.04,-0.03998889668995752,0.04996402262407198,-0.04996402262407198,0.0499861208624469,-0.0499861208624469,0.0,2.4988947812916047,0.0004420874833581223,0.02801973144426262,0.02801973144426223,0.0,1,9.980005551655001,1.7.6
-0.02,-0.019997223787174893,0.02499031867595498,-0.02499031867595602,0.024996529733968615,-0.024996529733968615,-5.204170427930421e-16,2.4993788079706074,0.00024847681175703683,0.02801973144426273,0.02801973144426184,0.0,1,9.990001388106391,1.7.6
-0.01,-0.00999930589861936,0.01249749374340201,-0.012497493743400796,0.0124991323732742,-0.0124991323732742,6.071532165918825e-16,2.499672251276374,0.00013109948945047022,0.028019731444261786,0.028019731444262397,0.0,1,9.99500034705067,1.7.6
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,,0.028019731444262286,0.028019731444262286,0.0,1,9.999999999999979,1.7.6
0.01,0.00999930589861936,-0.012497493743400796,0.01249749374340201,-0.0124991323732742,0.0124991323732742,6.071532165918825e-16,2.499672251276374,0.00013109948945047022,0.028019731444262397,0.028019731444261786,0.0,1,9.99500034705067,1.7.6
0.02,0.019997223787174893,-0.02499031867595602,0.02499031867595498,-0.024996529733968615,0.024996529733968615,-5.204170427930421e-16,2.4993788079706074,0.00024847681175703683,0.02801973144426184,0.02801973144426273,0.0,1,9.990001388106391,1.7.6
0.04,0.03998889668995752,-0.04996402262407198,0.04996402262407198,-0.0499861208624469,0.0499861208624469,0.0,2.4988947812916047,0.0004420874833581223,0.02801973144426223,0.02801973144426262,0.0,1,9.980005551655001,1.7.6
0.08,0.07995559908475901,-0.09987804663421572,0.09987804663421572,-0.09994449885594876,0.09994449885594876,0.0,2.498337771901028,0.0006648912395888828,0.028019731444261953,0.028019731444263674,0.0,1,9.9600222004576,1.7.6
