measurement_domain,quantile_index,probability,fixed_standard_normal_quantile,empirical_standardized_return_quantile,sample_count,reference_status,software_version
calendar_previous_refresh,6,0.1276,-1.1378095891304392,-0.7864881224011787,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,7,0.1472,-1.0485180294966427,-0.5411732707468008,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,8,0.1668,-0.9668880522656621,-0.31251905103280314,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,9,0.1864,-0.8912408008676285,-0.16156951648223916,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,10,0.20600000000000002,-0.8203791459684606,-0.0650446654021725,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,11,0.2256,-0.7534159518148675,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,12,0.2452,-0.6896727596991077,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,13,0.2648,-0.6286167374378782,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,14,0.2844,-0.5698196890956568,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,15,0.304,-0.5129304106147282,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,16,0.3236,-0.4576554489294859,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,17,0.3432,-0.4037453329153643,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,18,0.3628,-0.3509844690820791,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,19,0.3824,-0.29918354998931324,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,20,0.402,-0.24817371845931258,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,21,0.4216,-0.1978019761213284,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,22,0.4412,-0.14792748112033569,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,23,0.4608,-0.09841848125872729,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,24,0.4804,-0.049149695440031595,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,25,0.5,0.0,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,26,0.5196,0.049149695440031456,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,27,0.5392,0.09841848125872729,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,28,0.5588,0.14792748112033555,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,29,0.5784,0.1978019761213284,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,30,0.598,0.24817371845931258,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,31,0.6176,0.2991835499893134,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,32,0.6372,0.3509844690820791,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,33,0.6567999999999999,0.40374533291536413,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,34,0.6764,0.4576554489294859,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,35,0.696,0.5129304106147282,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,36,0.7156,0.5698196890956568,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,37,0.7352,0.628616737437878,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,38,0.7548,0.6896727596991077,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,39,0.7744,0.7534159518148675,-6.178917937080395e-05,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,40,0.794,0.8203791459684611,0.015565827281909356,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,41,0.8136,0.8912408008676285,0.13172641209264385,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,42,0.8331999999999999,0.9668880522656615,0.2840885114217715,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,43,0.8528,1.0485180294966427,0.5112634561562142,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,44,0.8724,1.137809589130439,0.6811878769369017,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,45,0.892,1.2372345991628273,0.9558770817228402,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,46,0.9116,1.3506736395811005,1.2352979975416296,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,47,0.9312,1.4847879686497156,1.5170090736650637,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,48,0.9508,1.65266039030791,1.8636851776606802,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,49,0.9703999999999999,1.8867051099724241,2.3695886332676475,1744,fixed_standard_normal_not_fitted,1.8.3
calendar_previous_refresh,50,0.99,2.3263478740408408,2.880247841489141,1744,fixed_standard_normal_not_fitted,1.8.3
