path_index,selection_policy,selected_path_operational_return_rms,cross_path_median_operational_return_rms,operational_step,time_seconds,operational_book_1_log_mid,operational_book_2_log_mid,operational_pair_centre_log_mid,calendar_book_1_log_mid,calendar_book_2_log_mid,calendar_pair_centre_log_mid,software_version
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,1,0.5,-0.0019830459198095646,0.00014201921699608265,-0.0009205133514067409,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,2,1.0,-0.005068674320086258,0.0010728351746697225,-0.001997919572708268,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,3,1.5,-0.004270218647555807,0.0017364587760642567,-0.001266879935745775,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,4,2.0,-0.004646003618443001,0.0007381721179642996,-0.0019539157502393508,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,5,2.5,-0.005192594966746539,-0.0013045100263649606,-0.0032485524965557497,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,6,3.0,-0.004598493406130527,-0.0021115159505148834,-0.0033550046783227053,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,7,3.5,-0.002842656767995111,-0.001754594730560638,-0.0022986257492778744,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,8,4.0,-0.0021563615665165514,-0.0019133579378036308,-0.002034859752160091,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,9,4.5,-0.0005412310716867708,-0.0018511054180355563,-0.0011961682448611635,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,10,5.0,-0.0005371678632683508,-0.0003216640550483263,-0.0004294159591583385,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,11,5.5,-0.001031302498021705,-0.0013053702625560742,-0.0011683363802888896,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,12,6.0,-0.0014689669642822811,-0.0027364246188067154,-0.0021026957915444983,0.0,0.0,0.0,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,13,6.5,-0.002396198367180649,-0.0011409251146286964,-0.0017685617409046728,-0.0014689669642822811,0.0,-0.0007344834821411406,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,14,7.0,-0.0019379792259490575,-4.422949270270482e-05,-0.0009911043593258811,-0.002396198367180649,0.0,-0.0011980991835903246,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,15,7.5,-0.0032952155572447545,-0.0004927836407949554,-0.001893999599019855,-0.002396198367180649,0.0,-0.0011980991835903246,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,16,8.0,-0.00363291393422302,0.00011714729695200557,-0.001757883318635507,-0.002396198367180649,-0.0004927836407949554,-0.0014444910039878023,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,17,8.5,-0.004743516615523816,-0.00048227659787729305,-0.0026128966067005543,-0.002396198367180649,-0.0004927836407949554,-0.0014444910039878023,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,18,9.0,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,-0.002396198367180649,-0.0004927836407949554,-0.0014444910039878023,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,19,9.5,-0.003978502049027222,-0.004081011971548226,-0.004029757010287724,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,20,10.0,-0.0020840643208248494,-0.004384826767127925,-0.0032344455439763872,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,21,10.5,-0.0016635289535728154,-0.004650278355232601,-0.003156903654402708,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,22,11.0,-0.0023064473654876155,-0.0063840283563124794,-0.0043452378609000475,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,23,11.5,-0.002754309825071799,-0.006466837885058391,-0.004610573855065095,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,24,12.0,-0.002932061776548006,-0.00548266421152678,-0.004207362994037393,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,25,12.5,-0.0033048298986014663,-0.005062778151197045,-0.004183804024899256,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,26,13.0,-0.00483771592020836,-0.004468305850465384,-0.004653010885336872,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,27,13.5,-0.004676925314452102,-0.0031651283982276346,-0.003921026856339868,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,28,14.0,-0.00632637769052477,-0.001903690779892428,-0.004115034235208599,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,29,14.5,-0.0063286884536816745,-0.0017002506490296776,-0.004014469551355676,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,30,15.0,-0.005196627955334807,-0.0013262945733142906,-0.0032614612643245486,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,31,15.5,-0.003959247144429412,-0.001181902479030189,-0.0025705748117298005,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,32,16.0,-0.002973262415864944,-0.0014374100266297263,-0.002205336221247335,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,33,16.5,-0.00343008616343643,-0.0014932330284242457,-0.002461659595930338,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,34,17.0,-0.0018604311483613467,-0.0016152285667346833,-0.001737829857548015,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,35,17.5,-0.0025912847799014482,-0.0022271266399825213,-0.0024092057099419847,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,36,18.0,-0.0013793894472684948,-0.0033766003684134738,-0.0023779949078409843,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,37,18.5,-0.0017432170646020928,-0.0027064062558486424,-0.0022248116602253676,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,38,19.0,-0.0021803964744765147,-0.0030508632471306363,-0.0026156298608035755,-0.004646083612286092,-0.0020708260123988853,-0.0033584548123424887,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,39,19.5,-0.001552035704295615,-0.0034048021216011165,-0.002478418912948366,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,40,20.0,-0.003117695366650061,-0.004406456716888954,-0.0037620760417695076,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,41,20.5,-0.0023808173056922566,-0.004679780615649248,-0.0035302989606707524,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,42,21.0,-0.0007632469592583901,-0.005398385258540875,-0.0030808161088996325,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,43,21.5,0.00040700929935891944,-0.0035576135528500308,-0.0015753021267455557,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,44,22.0,-8.965222077471358e-05,-0.0037643666082275012,-0.0019270094145011074,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,45,22.5,0.0010665799781700222,-0.003468802439945351,-0.0012011112308876644,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,46,23.0,0.0002401145292870496,-0.0039872037090565166,-0.0018735445898847335,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,47,23.5,0.0014297564471496924,-0.003840956256091904,-0.001205599904471106,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
4,operational_return_rms_nearest_cross_path_median,0.04679472835816379,0.04721049446718482,48,24.0,0.00028115282575929016,-0.002299260576333992,-0.0010090538752873508,-0.0021803964744765147,-0.0020708260123988853,-0.0021256112434377,1.8.3
