figure_id,panel,scenario,selector_resolution_ratio_sqrt_epsilon_over_dx,epsilon,lattice_spacing,alignment_offset_cells,requested_domain_halfwidth,realised_domain_halfwidth,grid_nodes,moment_ratio,effective_response_rate,aggregation_scale,mechanism,normalized_correlation,lower_envelope,upper_envelope,software_version
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.6072021956909883,coupling,0.2504526232421074,0.20881593031001988,0.2504526232421074,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.630957344480193,coupling,0.2584002184570767,0.21571804151939034,0.2584002184570767,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.6556418494179785,coupling,0.26653365026831366,0.2228016754868135,0.26653365026831366,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.6812920690579615,coupling,0.2748526050571576,0.23006824825677252,0.2748526050571576,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.707945784384138,coupling,0.2833563918156189,0.23751892112895867,0.2833563918156189,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.7356422544596414,coupling,0.29204392010831304,0.24515457989034095,0.29204392010831304,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.7644222742526002,coupling,0.3009136782629733,0.25297581357411447,0.3009136782629732,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.7943282347242814,coupling,0.30996371196619465,0.2609828928345027,0.30996371196619465,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.8254041852680182,coupling,0.31919160345788833,0.26917574804027333,0.31919160345788833,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.8576958985908937,coupling,0.3285944515347111,0.2775539472044939,0.32859445153471123,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.8912509381337459,coupling,0.33816885258920915,0.28611667388342166,0.33816885258920915,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.9261187281287937,coupling,0.34791088292728023,0.294862705193387,0.34791088292728023,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.9623506263980888,coupling,0.3578160826215,0.30379039011096653,0.3578160826215,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,1.0,coupling,0.3678794411714422,0.3128976282384692,0.36787944117144233,1.0.0
