measurement_domain,object,index,x,y,reference_x,reference_y,sample_count,software_version
uniform_operational,density,0,-5.853658536585366,0.0,-5.853658536585366,1.4464077651965064e-08,16928,2.1.0
uniform_operational,density,1,-5.560975609756097,0.0,-5.560975609756097,7.686898180437272e-08,16928,2.1.0
uniform_operational,density,2,-5.2682926829268295,0.0,-5.2682926829268295,3.7498026849955574e-07,16928,2.1.0
uniform_operational,density,3,-4.975609756097561,0.0,-4.975609756097561,1.6790460458255437e-06,16928,2.1.0
uniform_operational,density,4,-4.682926829268293,0.0,-4.682926829268293,6.901026582570289e-06,16928,2.1.0
uniform_operational,density,5,-4.390243902439025,0.0002018352236925014,-4.390243902439025,2.6035246726877082e-05,16928,2.1.0
uniform_operational,density,6,-4.097560975609756,0.0,-4.097560975609756,9.015848357637832e-05,16928,2.1.0
uniform_operational,density,7,-3.8048780487804876,0.0004036704473850028,-3.8048780487804876,0.00028658166572969457,16928,2.1.0
uniform_operational,density,8,-3.51219512195122,0.0008073408947700056,-3.51219512195122,0.0008361556144345638,16928,2.1.0
uniform_operational,density,9,-3.2195121951219514,0.0022201874606175157,-3.2195121951219514,0.0022393538367318257,16928,2.1.0
uniform_operational,density,10,-2.926829268292683,0.005247715816005037,-2.926829268292683,0.0055049735360724284,16928,2.1.0
uniform_operational,density,11,-2.634146341463415,0.012311948645242586,-2.634146341463415,0.012421803454681104,16928,2.1.0
uniform_operational,density,12,-2.3414634146341466,0.027651425645872692,-2.3414634146341466,0.02572829308850558,16928,2.1.0
uniform_operational,density,13,-2.048780487804878,0.05025697069943285,-2.048780487804878,0.04891411485503702,16928,2.1.0
uniform_operational,density,14,-1.75609756097561,0.0845689587271581,-1.75609756097561,0.08535998437500054,16928,2.1.0
uniform_operational,density,15,-1.4634146341463419,0.13845896345305597,-1.4634146341463419,0.13673237525859186,16928,2.1.0
uniform_operational,density,16,-1.1707317073170733,0.19436732041587887,-1.1707317073170733,0.20104130420767566,16928,2.1.0
uniform_operational,density,17,-0.8780487804878052,0.282972983616887,-0.8780487804878052,0.27132894807536007,16928,2.1.0
uniform_operational,density,18,-0.5853658536585371,0.32354186357907977,-0.5853658536585371,0.33612736628589057,16928,2.1.0
uniform_operational,density,19,-0.29268292682926855,0.37642269218651514,-0.29268292682926855,0.3822156958019895,16928,2.1.0
uniform_operational,density,20,-4.440892098500626e-16,0.41779891304347794,-4.440892098500626e-16,0.3989422804014327,16928,2.1.0
uniform_operational,density,21,0.29268292682926766,0.37642269218651514,0.29268292682926766,0.3822156958019896,16928,2.1.0
uniform_operational,density,22,0.5853658536585362,0.32354186357907977,0.5853658536585362,0.33612736628589074,16928,2.1.0
uniform_operational,density,23,0.8780487804878043,0.282972983616887,0.8780487804878043,0.27132894807536023,16928,2.1.0
uniform_operational,density,24,1.1707317073170724,0.19436732041587887,1.1707317073170724,0.20104130420767588,16928,2.1.0
uniform_operational,density,25,1.463414634146341,0.13845896345305597,1.463414634146341,0.13673237525859205,16928,2.1.0
uniform_operational,density,26,1.7560975609756095,0.0845689587271581,1.7560975609756095,0.0853599843750006,16928,2.1.0
uniform_operational,density,27,2.048780487804878,0.05025697069943285,2.048780487804878,0.04891411485503702,16928,2.1.0
uniform_operational,density,28,2.3414634146341458,0.027651425645872692,2.3414634146341458,0.025728293088505636,16928,2.1.0
uniform_operational,density,29,2.6341463414634134,0.012311948645242586,2.6341463414634134,0.01242180345468116,16928,2.1.0
uniform_operational,density,30,2.926829268292682,0.005247715816005037,2.926829268292682,0.005504973536072442,16928,2.1.0
uniform_operational,density,31,3.2195121951219505,0.0022201874606175157,3.2195121951219505,0.0022393538367318313,16928,2.1.0
uniform_operational,density,32,3.512195121951219,0.0008073408947700056,3.512195121951219,0.000836155614434566,16928,2.1.0
uniform_operational,density,33,3.8048780487804876,0.0004036704473850028,3.8048780487804876,0.00028658166572969457,16928,2.1.0
uniform_operational,density,34,4.097560975609756,0.0,4.097560975609756,9.015848357637832e-05,16928,2.1.0
uniform_operational,density,35,4.390243902439024,0.0002018352236925014,4.390243902439024,2.6035246726877173e-05,16928,2.1.0
uniform_operational,density,36,4.6829268292682915,0.0,4.6829268292682915,6.90102658257035e-06,16928,2.1.0
uniform_operational,density,37,4.97560975609756,0.0,4.97560975609756,1.6790460458255499e-06,16928,2.1.0
uniform_operational,density,38,5.268292682926829,0.0,5.268292682926829,3.749802684995578e-07,16928,2.1.0
uniform_operational,density,39,5.560975609756097,0.0,5.560975609756097,7.686898180437272e-08,16928,2.1.0
uniform_operational,density,40,5.853658536585366,0.0,5.853658536585366,1.4464077651965064e-08,16928,2.1.0
uniform_operational,qq,0,-2.3263478740408408,-2.3366495587024,-2.3263478740408408,-2.3263478740408408,16928,2.1.0
uniform_operational,qq,1,-1.8867051099724252,-1.8895672105282297,-1.8867051099724252,-1.8867051099724252,16928,2.1.0
uniform_operational,qq,2,-1.6526603903079105,-1.652793705785682,-1.6526603903079105,-1.6526603903079105,16928,2.1.0
uniform_operational,qq,3,-1.4847879686497152,-1.490386263296042,-1.4847879686497152,-1.4847879686497152,16928,2.1.0
uniform_operational,qq,4,-1.350673639581101,-1.3484854104192399,-1.350673639581101,-1.350673639581101,16928,2.1.0
uniform_operational,qq,5,-1.2372345991628273,-1.230086475054142,-1.2372345991628273,-1.2372345991628273,16928,2.1.0
uniform_operational,qq,6,-1.1378095891304392,-1.134853296477359,-1.1378095891304392,-1.1378095891304392,16928,2.1.0
uniform_operational,qq,7,-1.0485180294966427,-1.0443618418980323,-1.0485180294966427,-1.0485180294966427,16928,2.1.0
uniform_operational,qq,8,-0.9668880522656621,-0.9692674991775814,-0.9668880522656621,-0.9668880522656621,16928,2.1.0
uniform_operational,qq,9,-0.8912408008676285,-0.9006776916699626,-0.8912408008676285,-0.8912408008676285,16928,2.1.0
uniform_operational,qq,10,-0.8203791459684606,-0.825427600628386,-0.8203791459684606,-0.8203791459684606,16928,2.1.0
uniform_operational,qq,11,-0.7534159518148675,-0.7593207505910026,-0.7534159518148675,-0.7534159518148675,16928,2.1.0
uniform_operational,qq,12,-0.6896727596991077,-0.6943817403936002,-0.6896727596991077,-0.6896727596991077,16928,2.1.0
uniform_operational,qq,13,-0.6286167374378782,-0.6330892709350987,-0.6286167374378782,-0.6286167374378782,16928,2.1.0
uniform_operational,qq,14,-0.5698196890956568,-0.5693196506112006,-0.5698196890956568,-0.5698196890956568,16928,2.1.0
uniform_operational,qq,15,-0.5129304106147282,-0.5143388260137977,-0.5129304106147282,-0.5129304106147282,16928,2.1.0
uniform_operational,qq,16,-0.4576554489294859,-0.45744803994847905,-0.4576554489294859,-0.4576554489294859,16928,2.1.0
uniform_operational,qq,17,-0.4037453329153643,-0.3982480316694548,-0.4037453329153643,-0.4037453329153643,16928,2.1.0
uniform_operational,qq,18,-0.3509844690820791,-0.3460488144679454,-0.3509844690820791,-0.3509844690820791,16928,2.1.0
uniform_operational,qq,19,-0.29918354998931324,-0.29960879097358994,-0.29918354998931324,-0.29918354998931324,16928,2.1.0
uniform_operational,qq,20,-0.24817371845931258,-0.24321346064750685,-0.24817371845931258,-0.24817371845931258,16928,2.1.0
uniform_operational,qq,21,-0.1978019761213284,-0.19009437086614614,-0.1978019761213284,-0.1978019761213284,16928,2.1.0
uniform_operational,qq,22,-0.14792748112033569,-0.1405857835596486,-0.14792748112033569,-0.14792748112033569,16928,2.1.0
uniform_operational,qq,23,-0.09841848125872729,-0.0922531896760041,-0.09841848125872729,-0.09841848125872729,16928,2.1.0
uniform_operational,qq,24,-0.049149695440031595,-0.04690683844363632,-0.049149695440031595,-0.049149695440031595,16928,2.1.0
uniform_operational,qq,25,0.0,1.2932200883081224e-14,0.0,0.0,16928,2.1.0
uniform_operational,qq,26,0.049149695440031456,0.04690683844362281,0.049149695440031456,0.049149695440031456,16928,2.1.0
uniform_operational,qq,27,0.09841848125872729,0.09225318967601971,0.09841848125872729,0.09841848125872729,16928,2.1.0
uniform_operational,qq,28,0.14792748112033555,0.14058578355968837,0.14792748112033555,0.14792748112033555,16928,2.1.0
uniform_operational,qq,29,0.1978019761213284,0.1900943708661639,0.1978019761213284,0.1978019761213284,16928,2.1.0
uniform_operational,qq,30,0.24817371845931258,0.24321346064750402,0.24817371845931258,0.24817371845931258,16928,2.1.0
uniform_operational,qq,31,0.2991835499893134,0.29960879097355836,0.2991835499893134,0.2991835499893134,16928,2.1.0
uniform_operational,qq,32,0.3509844690820791,0.3460488144679478,0.3509844690820791,0.3509844690820791,16928,2.1.0
uniform_operational,qq,33,0.40374533291536413,0.3982480316693836,0.40374533291536413,0.40374533291536413,16928,2.1.0
uniform_operational,qq,34,0.4576554489294859,0.45744803994965233,0.4576554489294859,0.4576554489294859,16928,2.1.0
uniform_operational,qq,35,0.5129304106147282,0.5143388260138106,0.5129304106147282,0.5129304106147282,16928,2.1.0
uniform_operational,qq,36,0.5698196890956568,0.5693196506111811,0.5698196890956568,0.5698196890956568,16928,2.1.0
uniform_operational,qq,37,0.628616737437878,0.6330892709350822,0.628616737437878,0.628616737437878,16928,2.1.0
uniform_operational,qq,38,0.6896727596991077,0.6943817403935811,0.6896727596991077,0.6896727596991077,16928,2.1.0
uniform_operational,qq,39,0.7534159518148675,0.759320750590991,0.7534159518148675,0.7534159518148675,16928,2.1.0
uniform_operational,qq,40,0.8203791459684611,0.8254276006283697,0.8203791459684611,0.8203791459684611,16928,2.1.0
uniform_operational,qq,41,0.8912408008676285,0.9006776916699448,0.8912408008676285,0.8912408008676285,16928,2.1.0
uniform_operational,qq,42,0.9668880522656615,0.9692674991775514,0.9668880522656615,0.9668880522656615,16928,2.1.0
uniform_operational,qq,43,1.0485180294966427,1.0443618418979437,1.0485180294966427,1.0485180294966427,16928,2.1.0
