target_id,schedule_id,execution_horizon_seconds,measurement_domain,event_book,response_book,impact_type,child_index,elapsed_from_start_seconds,scheduled_cumulative_quantity,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,active_observation_fraction,paths,sides_per_path,software_version
S8-META-01,slow,60.0,operational,0,0,own,0,0.0,0.05,0.14129133450634593,0.0017092328502088837,0.13794123811993653,0.14464143089275533,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,0,own,1,20.0,0.1,0.19882687422782427,4.982277208121431e-05,0.1987292215945451,0.19892452686110346,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,0,own,2,40.0,0.15000000000000002,0.19938769319735275,6.099043562355669e-06,0.19937573907197054,0.19939964732273496,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,0,own,3,60.0,0.2,0.19959909912002255,8.33785867647053e-07,0.19959746489972197,0.19960073334032313,1.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,0,own,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,0,own,1,20.0,0.1,0.06785779207782544,0.008356566681438962,0.05147892138220508,0.0842366627734458,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,0,own,2,40.0,0.15000000000000002,0.07385422350781318,0.004353976266329637,0.06532043002580709,0.08238801698981926,0.0,8,2,1.8.2
S8-META-01,slow,60.0,calendar,0,0,own,3,60.0,0.2,0.10206829288001137,0.00948433184889658,0.08347900245617408,0.12065758330384867,0.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,1,cross,0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,1,cross,1,20.0,0.1,0.015105368549595398,1.9692160886627128e-05,0.015066771914257608,0.015143965184933187,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,1,cross,2,40.0,0.15000000000000002,0.034258637372848254,1.7861196164435682e-05,0.03422362942836596,0.03429364531733055,1.0,8,2,1.8.2
S8-META-01,slow,60.0,operational,0,1,cross,3,60.0,0.2,0.054064048299885224,8.098622848791973e-06,0.05404817499910159,0.05407992160066886,1.0,8,2,1.8.2
