snapshot_index,operational_step,operational_time_model_units,time_seconds,grid_index,log_price_coordinate,book_1_density,book_2_density,book_1_boundary_log_price,book_2_boundary_log_price,initial_book_displacement,clock,software_version
0,0,0.0,0.0,0,-10.0,0.0,0.0,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,1,-9.9,0.011208221630990063,0.04483124125753975,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,2,-9.8,0.03922758193943114,0.07284915014906741,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,3,-9.7,0.06724576815109543,0.10086558876955587,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,4,-9.6,0.09526253998879738,0.12888026082790327,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,5,-9.5,0.12327761158986703,0.15689281479447018,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,6,-9.4,0.15129064362241215,0.18490283454296527,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,7,-9.3,0.1793012341923587,0.21290982859382176,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,8,-9.2,0.2073089083851474,0.24091321778510746,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,9,-9.1,0.23531310627111035,0.26891232118160435,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,10,-9.0,0.26331316918820685,0.2969063400170276,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,11,-8.9,0.29130832410015195,0.32489433944863144,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,12,-8.8,0.3192976658122259,0.3528752278879396,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,13,-8.7,0.3472801368114584,0.38084773365637137,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,14,-8.6,0.3752545044827613,0.4088103787004479,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,15,-8.5,0.403219335438269,0.4367614490885156,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,16,-8.4,0.4311729666840737,0.4646989619999572,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,17,-8.3,0.4591134733371631,0.4926206289092331,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,18,-8.2,0.4870386325962053,0.5205238146613929,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,19,-8.1,0.514945883663471,0.548405492133551,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,20,-8.0,0.5428322833122574,0.5762621921789406,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,21,-7.9,0.5706944567953686,0.6040899485572638,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,22,-7.8,0.5985285437962502,0.6318842375679319,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,23,-7.699999999999999,0.6263301391360204,0.6596399121222182,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,24,-7.6,0.6540942279676971,0.6873511300171442,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,25,-7.5,0.6818151152141768,0.7150112762088848,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,26,-7.4,0.7094863490398051,0.7426128789273962,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,27,-7.3,0.7371006381874593,0.7701475195275728,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,28,-7.199999999999999,0.7646497630646966,0.7976057360362171,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,29,-7.1,0.7921244805244134,0.8249769204290207,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,30,-7.0,0.8195144223581823,0.8522492097580885,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,31,-6.9,0.8468079876045133,0.8794093713486083,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,32,-6.8,0.8739922288700522,0.9064426823932025,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,33,-6.699999999999999,0.9010527329693646,0.933332804394258,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,34,-6.6,0.9279734963084454,0.9600616530377875,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,35,-6.5,0.9547367955681897,0.9866092642265726,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,36,-6.4,0.9813230543862261,1.0129536571546163,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,37,-6.3,1.007710706887976,1.0390706954680864,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,38,-6.199999999999999,1.0338760590794076,1.0649339477284696,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,39,-6.1,1.0597931492832766,1.09051454856966,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,40,-6.0,1.0854336089758554,1.115781062119965,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,41,-5.8999999999999995,1.1107665255600718,1.1406993494398976,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,42,-5.8,1.1357583087911034,1.165232441904136,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,43,-5.7,1.160372562748822,1.1893404226279225,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,44,-5.6,1.1845699654248871,1.2129803182006873,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
0,0,0.0,0.0,45,-5.5,1.2083081581570791,1.2361060031389997,0.059950062828225785,-0.05995006282818417,0.06,identity,1.7.7
