experiment,schedule_id,impact_type,measurement_domain,x_coordinate,x_value,mean_signed_log_mid_impact,standard_error,active_observation_fraction,software_version
meta_order_trajectory,fast,own,poisson_previous_refresh,cumulative_quantity,0.15000000000000002,0.09108594511967304,0.026978871703547687,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,poisson_previous_refresh,cumulative_quantity,0.2,0.14619090781989674,0.028950043734426858,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,0.0,0.14619090781989674,0.028950043734426858,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,5.0,0.2356506435679856,0.023699939947101636,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,10.0,0.21439746736534582,0.013877872344736818,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,20.0,0.18541466016036623,0.0203838486476397,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,40.0,0.10415699124724385,0.000810713836103381,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,80.0,0.06351028255528679,0.0013376138367477233,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,120.0,0.054684063781133344,0.000307653974214819,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,160.0,0.05210898971012476,0.00031378812049224765,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,poisson_previous_refresh,post_completion_lag_seconds,200.0,0.050519563445029746,6.24889185029274e-05,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,mittag_leffler_previous_refresh,cumulative_quantity,0.05,0.0,0.0,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,mittag_leffler_previous_refresh,cumulative_quantity,0.1,0.024825824943859306,0.00954916586168707,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,mittag_leffler_previous_refresh,cumulative_quantity,0.15000000000000002,0.07071135095641783,0.019167202012948848,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,mittag_leffler_previous_refresh,cumulative_quantity,0.2,0.12211993659230395,0.019550961358978595,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,0.0,0.12211993659230395,0.019550961358978595,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,5.0,0.17422569180562958,0.02244462196092106,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,10.0,0.18323200626799113,0.022096439000407427,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,20.0,0.15962546628177846,0.02205836197931847,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,40.0,0.10831925199918115,0.014442182644479624,see_archive,2.1.0-r13
meta_order_relaxation,fast,own,mittag_leffler_previous_refresh,post_completion_lag_seconds,80.0,0.09287101561968389,0.014931991808941801,see_archive,2.1.0-r13
