target_id,measurement_domain,lag_index,lag_seconds,mean_increment_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,paths,books_per_path,level_autocorrelation_included,software_version
S8-DEPEND-01,operational,0,0.0,1.0,0.0,1.0,1.0,109,8,2,False,1.8.3
S8-DEPEND-01,operational,1,5.0,-0.5350548385798323,0.016768744020698736,-0.5679215768604018,-0.5021881002992628,108,8,2,False,1.8.3
S8-DEPEND-01,operational,2,10.0,0.35494779320547487,0.029861056243499235,0.29642012296821635,0.4134754634427334,107,8,2,False,1.8.3
S8-DEPEND-01,operational,3,15.0,-0.27297275455749775,0.022626255554284543,-0.31732021544389544,-0.22862529367110004,106,8,2,False,1.8.3
S8-DEPEND-01,operational,4,20.0,0.17262077243548996,0.026385243217893352,0.12090569572841899,0.22433584914256094,105,8,2,False,1.8.3
S8-DEPEND-01,operational,5,25.0,-0.14393449981094716,0.02420972321613671,-0.19138555731457513,-0.0964834423073192,104,8,2,False,1.8.3
S8-DEPEND-01,operational,6,30.0,0.06070494505524841,0.04107620817733674,-0.019804422972331592,0.14121431308282842,103,8,2,False,1.8.3
S8-DEPEND-01,operational,7,35.0,-0.06864356756532325,0.018136749625011345,-0.10419159683034548,-0.033095538300301014,102,8,2,False,1.8.3
S8-DEPEND-01,operational,8,40.0,-0.005534087353081268,0.016510161128496154,-0.03789400316493373,0.026825828458771194,101,8,2,False,1.8.3
S8-DEPEND-01,operational,9,45.0,-0.05816584889279834,0.013379947102290988,-0.08439054521328868,-0.03194115257230801,100,8,2,False,1.8.3
S8-DEPEND-01,operational,10,50.0,0.07513862507354492,0.031063136184107037,0.014254878152695133,0.1360223719943947,99,8,2,False,1.8.3
S8-DEPEND-01,operational,11,55.0,-0.07077361106739131,0.02592043815218734,-0.1215776698456785,-0.01996955228910413,98,8,2,False,1.8.3
S8-DEPEND-01,operational,12,60.0,0.07782814302884715,0.03941978868428255,0.0005653572076533553,0.15509092885004094,97,8,2,False,1.8.3
S8-DEPEND-01,operational,13,65.0,-0.0471813729561421,0.03362205164795238,-0.11308059418612876,0.01871784827384456,96,8,2,False,1.8.3
S8-DEPEND-01,operational,14,70.0,0.02976275339197232,0.04063292871495964,-0.049877786889348574,0.10940329367329321,95,8,2,False,1.8.3
S8-DEPEND-01,operational,15,75.0,-0.0060993860434177365,0.03353137766086749,-0.07182088625871802,0.05962211417188254,94,8,2,False,1.8.3
S8-DEPEND-01,operational,16,80.0,-0.017709488275922246,0.030729722702660424,-0.07793974477313667,0.042520768221292186,93,8,2,False,1.8.3
S8-DEPEND-01,operational,17,85.0,0.01936563068001995,0.03049756499688223,-0.04040959671386922,0.07914085807390912,92,8,2,False,1.8.3
S8-DEPEND-01,operational,18,90.0,-0.03425895077191628,0.0347857312896576,-0.10243898409964516,0.03392108255581261,91,8,2,False,1.8.3
S8-DEPEND-01,operational,19,95.0,0.07397389732339874,0.024185273206330272,0.026570761838991402,0.12137703280780607,90,8,2,False,1.8.3
S8-DEPEND-01,operational,20,100.0,-0.14871346016189863,0.023612868599703917,-0.1949946826173183,-0.10243223770647894,89,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,0,0.0,1.0,0.0,1.0,1.0,109,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,1,5.0,-0.10008301987624173,0.018841674323985192,-0.1370127015512527,-0.06315333820123076,108,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,2,10.0,-0.02035364751707639,0.028102569817652388,-0.07543468435967507,0.03472738932552229,107,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,3,15.0,-0.03491609347580299,0.01590249302879551,-0.06608497981224219,-0.003747207139363787,106,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,4,20.0,0.0003609780551146321,0.031207491013088447,-0.060805704330538723,0.06152766044076799,105,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,5,25.0,-0.0510143021944996,0.011312820311474032,-0.0731874300049887,-0.0288411743840105,104,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,6,30.0,-0.05116117813525943,0.03129200582494815,-0.11249350955215781,0.010171153281638944,103,8,2,False,1.8.3
S8-DEPEND-01,calendar_previous_refresh,7,35.0,-0.00852594871239094,0.009851712956480923,-0.027835306107093546,0.010783408682311667,102,8,2,False,1.8.3
