event_id,path_index,book_index,same_book_event_index,operational_step,operational_time_seconds,event_type,quantity,filled_quantity,ground_truth_aggressor_sign,quote_midpoint_sign,legacy_tick_rule_sign,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,software_version
v183-p00-b1-e034,0,0,33,961,480.5,market_order,0.015,0.015,-1,-1,-1,-0.05826764495158767,-0.1995614415193773,"[99, 98, 97]",1.8.3
v183-p00-b1-e035,0,0,34,981,490.5,market_order,0.015,0.015,-1,-1,-1,-0.07498139697432518,-0.22095668000935142,"[99, 98, 97]",1.8.3
v183-p00-b1-e036,0,0,35,1001,500.5,market_order,0.015,0.015,-1,-1,-1,-0.07940772937281991,-0.22670861190973596,"[99, 98, 97]",1.8.3
v183-p00-b1-e037,0,0,36,1021,510.5,market_order,0.015,0.015,-1,-1,1,-0.07667783754253213,-0.22290499678849618,"[99, 98, 97]",1.8.3
v183-p00-b1-e038,0,0,37,1041,520.5,market_order,0.015,0.015,-1,-1,-1,-0.0781522362773088,-0.22483133131784352,"[99, 98, 97]",1.8.3
v183-p00-b1-e039,0,0,38,1061,530.5,market_order,0.015,0.015,-1,-1,1,-0.07061530656578227,-0.21451653432664336,"[99, 98, 97]",1.8.3
v183-p00-b1-e040,0,0,39,1081,540.5,market_order,0.015,0.015,1,1,1,-0.0663563349740394,0.07046549173599564,"[100, 101]",1.8.3
v183-p00-b1-e041,0,0,40,1101,550.5,market_order,0.015,0.015,-1,-1,-1,-0.027250862580385463,-0.16752785506309753,"[99, 98]",1.8.3
v183-p00-b1-e042,0,0,41,1121,560.5,market_order,0.015,0.015,1,1,1,-0.04162487523663709,0.10033015432857205,"[100, 101, 102]",1.8.3
v183-p00-b1-e043,0,0,42,1141,570.5,market_order,0.015,0.015,1,1,1,-0.009098454391353886,0.14300313362556621,"[100, 101, 102]",1.8.3
v183-p00-b1-e044,0,0,43,1161,580.5,market_order,0.015,0.015,1,1,1,0.013715901983802856,0.16132333282112563,"[101, 102]",1.8.3
v183-p00-b1-e045,0,0,44,1181,590.5,market_order,0.015,0.015,1,1,1,0.02760213698141825,0.16758976578477225,"[101, 102]",1.8.3
v183-p00-b1-e046,0,0,45,1201,600.5,market_order,0.015,0.015,1,1,1,0.039513323759617754,0.17294976766371595,"[101, 102]",1.8.3
v183-p00-b1-e047,0,0,46,1221,610.5,market_order,0.015,0.015,1,1,1,0.04805451732030326,0.1840262159984122,"[101, 102, 103]",1.8.3
v183-p00-b1-e048,0,0,47,1241,620.5,market_order,0.015,0.015,1,1,-1,0.043831352236633384,0.17798229997367418,"[101, 102, 103]",1.8.3
v183-p00-b2-e001,0,1,0,311,155.5,market_order,0.015,0.015,1,1,0,0.004838480420116218,0.1543444200003794,"[101, 102]",1.8.3
v183-p00-b2-e002,0,1,1,331,165.5,market_order,0.015,0.015,1,1,1,0.026601836730125065,0.16561810180340322,"[101, 102]",1.8.3
v183-p00-b2-e003,0,1,2,351,175.5,market_order,0.015,0.015,1,1,1,0.028923436589513345,0.1669516350132055,"[101, 102]",1.8.3
