figure_id,aggregation_scale,aggregation_unit,scenario,mechanism,sensitivity_parameter,local_elasticity,clock_rate,response_rate,software_version
F2,0.006072021956909884,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9979780401530578,1.0,0.25,1.0.0
F2,0.006309573444801929,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9978990196236794,1.0,0.25,1.0.0
F2,0.006556418494179785,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9978169142687254,1.0,0.25,1.0.0
F2,0.006812920690579615,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9977316039266346,1.0,0.25,1.0.0
F2,0.00707945784384138,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9976429637798528,1.0,0.25,1.0.0
F2,0.007356422544596414,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9975508641779535,1.0,0.25,1.0.0
F2,0.007644222742526002,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9974551704363731,1.0,0.25,1.0.0
F2,0.007943282347242814,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9973557426802476,1.0,0.25,1.0.0
F2,0.008254041852680182,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9972524355863116,1.0,0.25,1.0.0
F2,0.008576958985908946,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9971450982309921,1.0,0.25,1.0.0
F2,0.008912509381337459,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9970335738531195,1.0,0.25,1.0.0
F2,0.009261187281287938,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9969176996026501,1.0,0.25,1.0.0
F2,0.009623506263980888,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9967973063793737,1.0,0.25,1.0.0
F2,0.01,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9966722185154808,1.0,0.25,1.0.0
F2,0.01039122303835169,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9965422535795327,1.0,0.25,1.0.0
F2,0.010797751623277093,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9964072220935061,1.0,0.25,1.0.0
F2,0.011220184543019636,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9962669272796546,1.0,0.25,1.0.0
F2,0.011659144011798317,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9961211647665246,1.0,0.25,1.0.0
F2,0.012115276586285882,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9959697223187375,1.0,0.25,1.0.0
F2,0.012589254117941675,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.995812379524653,1.0,0.25,1.0.0
F2,0.013081774742601943,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9956489074973456,1.0,0.25,1.0.0
F2,0.013593563908785255,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9954790685499135,1.0,0.25,1.0.0
F2,0.01412537544622754,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9953026158575604,1.0,0.25,1.0.0
F2,0.014677992676220698,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9951192931308139,1.0,0.25,1.0.0
F2,0.01525222956539019,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9949288342359931,1.0,0.25,1.0.0
F2,0.015848931924611134,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9947309628524268,1.0,0.25,1.0.0
F2,0.01646897865482868,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9945253920632066,1.0,0.25,1.0.0
F2,0.01711328304161781,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9943118239780977,1.0,0.25,1.0.0
F2,0.01778279410038923,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9940899493174271,1.0,0.25,1.0.0
F2,0.018478497974222907,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9938594469861323,1.0,0.25,1.0.0
F2,0.01920141938638801,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9936199836371336,1.0,0.25,1.0.0
F2,0.0199526231496888,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9933712132135821,1.0,0.25,1.0.0
F2,0.02073321573485955,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9931127764795018,1.0,0.25,1.0.0
F2,0.021544346900318832,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.992844300534238,1.0,0.25,1.0.0
F2,0.0223872113856834,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9925653983071123,1.0,0.25,1.0.0
F2,0.02326305067153626,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9922756680327462,1.0,0.25,1.0.0
F2,0.024173154808041036,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9919746927212236,1.0,0.25,1.0.0
F2,0.025118864315095794,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9916620395924632,1.0,0.25,1.0.0
F2,0.026101572156825372,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9913372595023598,1.0,0.25,1.0.0
F2,0.02712272579332028,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9909998863520866,1.0,0.25,1.0.0
F2,0.028183829312644536,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9906494364663772,1.0,0.25,1.0.0
F2,0.02928644564625236,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9902854079653032,1.0,0.25,1.0.0
F2,0.03043219887107722,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9899072801027612,1.0,0.25,1.0.0
F2,0.03162277660168379,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.989514512593731,1.0,0.25,1.0.0
F2,0.03285993247600654,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.989106544914213,1.0,0.25,1.0.0
F2,0.034145488738336005,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9886827955794936,1.0,0.25,1.0.0
F2,0.03548133892335755,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9882426614029461,1.0,0.25,1.0.0
F2,0.03686945064519575,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9877855167277725,1.0,0.25,1.0.0
F2,0.03831186849557287,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9873107126385844,1.0,0.25,1.0.0
F2,0.039810717055349734,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9868175761475962,1.0,0.25,1.0.0
F2,0.04136820402388507,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9863054093564092,1.0,0.25,1.0.0
F2,0.042986623470822764,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9857734885931083,1.0,0.25,1.0.0
F2,0.0446683592150963,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9852210635260288,1.0,0.25,1.0.0
F2,0.046415888336127795,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9846473562502175,1.0,0.25,1.0.0
F2,0.04823178482239307,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9840515603494837,1.0,0.25,1.0.0
F2,0.05011872336272722,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9834328399324673,1.0,0.25,1.0.0
F2,0.052079483285954624,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9827903286436537,1.0,0.25,1.0.0
F2,0.054116952654646375,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9821231286470254,1.0,0.25,1.0.0
F2,0.056234132519034905,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9814303095853893,1.0,0.25,1.0.0
