panel,lag_seconds,simulation,halfwidth_98,reduced_theory,conditional_reference
clock,0.5,0.024602983262390153,0.000641103002699607,0.024588490014280207,
clock,1.0,0.04802607930308766,0.0007552360513639414,0.04837418035959573,
clock,2.0,0.093017798230325,0.0009939487971771508,0.09365376538990933,
clock,3.0,0.13538700614828883,0.0011758403071483166,0.13606073560572618,
clock,5.0,0.2120979317457671,0.0014517849005310508,0.21306131942526685,
clock,7.5,0.2951422946329304,0.001696572622783208,0.2964887369880196,
clock,10.0,0.36659085025077087,0.0018607147524655045,0.36787944117144233,
clock,15.0,0.48093603083000186,0.0020764351297679028,0.48208677343228656,
clock,20.0,0.5666073586850557,0.0021702518277407308,0.5676676416183064,
clock,40.0,0.7538967526517434,0.002065963674952132,0.7545789097221836,
clock,60.0,0.8333889797523303,0.0019107742125474142,0.8337464586961111,
clock,80.0,0.8751772020844995,0.0017587161394572969,0.8750419328284879,
clock,100.0,0.9001934329756967,0.0016359000170804274,0.9000045399929762,
clock,120.0,0.9169461269702514,0.0015256524955927398,0.9166671786843628,
clock,140.0,0.9286741361212285,0.0014090271115728746,0.928571487966337,
clock,160.0,0.9376610418920113,0.0013319654575847314,0.9375000070334484,
clock,180.0,0.9447613875840956,0.0012681938600168012,0.9444444452905544,
clock,200.0,0.95044955905822,0.0012090450788745171,0.9500000001030576,
clock,220.0,0.95494384313718,0.0011526336783010572,0.954545454558134,
clock,240.0,0.9587688338967824,0.0011122663775172265,0.9583333333349063,
clock,260.0,0.9620154763502281,0.001075812789073911,0.9615384615386581,
clock,280.0,0.9648610035923662,0.0010356304696451854,0.964285714285739,
clock,300.0,0.9672180055643982,0.0010008979626155387,0.9666666666666698,
clock,320.0,0.9691976765450896,0.0009803880446941757,0.9687500000000004,
clock,340.0,0.9710011154844835,0.0009626520745156922,0.9705882352941178,
clock,360.0,0.972560622861717,0.0009444912933583621,0.9722222222222222,
clock,380.0,0.9740006295366972,0.0009316574778207982,0.9736842105263158,
clock,400.0,0.9753645327988348,0.0009108527836581176,0.975,
synchronous,0.5,-0.006379115393532035,0.0016657700491165448,0.006224039510514201,
synchronous,1.0,0.0007800093977330114,0.0020018004651700767,0.012396481133306714,
synchronous,2.0,0.013228930526952282,0.0026179929707884904,0.024588490014280207,
synchronous,3.0,0.026005813649627448,0.003107355123109168,0.03657981771403862,
synchronous,5.0,0.049979088874226814,0.0038912158839021797,0.0599752206767632,
synchronous,7.5,0.07861912753590765,0.004666572627029083,0.0881552969621352,
synchronous,10.0,0.10623551991664261,0.0052186855395731655,0.11520313228561951,
synchronous,15.0,0.15850079405479417,0.005937544731272824,0.16610474344259252,
synchronous,20.0,0.2062948381700572,0.006489459311094708,0.21306131942526685,
synchronous,40.0,0.3634065674085796,0.007433803396468607,0.36787944117144233,
synchronous,60.0,0.479936576444658,0.007491249553942464,0.48208677343228656,
synchronous,80.0,0.5659417422493204,0.0071860915871169995,0.5676676416183064,
synchronous,100.0,0.6306598681451395,0.006848804422552831,0.6328339994495595,
