measurement_domain,path_index,book_index,stream_id,retained_waits,realised_mean_wait_seconds,realised_median_wait_seconds,realised_q95_wait_seconds,realised_max_wait_seconds,supported_horizon_seconds,software_version
mittag_leffler_previous_refresh,0,0,v21-stylised-mittag_leffler-p00-b1,90,45.87248870074669,4.954427195805723,77.80157018770112,2454.528418091276,2800.0,2.1.0
mittag_leffler_previous_refresh,0,1,v21-stylised-mittag_leffler-p00-b2,211,14.25388512504419,4.85819756399865,46.56673430053895,412.50804609577756,2800.0,2.1.0
mittag_leffler_previous_refresh,1,0,v21-stylised-mittag_leffler-p01-b1,109,153.65465818486388,7.7566220256304685,135.11036481765495,14093.259773774393,2800.0,2.1.0
mittag_leffler_previous_refresh,1,1,v21-stylised-mittag_leffler-p01-b2,34,123.78208203382565,5.689096917037494,80.42021120897834,3771.86638275508,2800.0,2.1.0
mittag_leffler_previous_refresh,2,0,v21-stylised-mittag_leffler-p02-b1,71,39.69524096692326,5.301859608517598,85.56255553923202,1341.584383119916,2800.0,2.1.0
mittag_leffler_previous_refresh,2,1,v21-stylised-mittag_leffler-p02-b2,114,32.28748678142093,7.080179595992636,56.0519597810753,2089.2334037552437,2800.0,2.1.0
mittag_leffler_previous_refresh,3,0,v21-stylised-mittag_leffler-p03-b1,116,25.07780303665277,6.739740579835916,87.57200379572637,601.4848750665725,2800.0,2.1.0
mittag_leffler_previous_refresh,3,1,v21-stylised-mittag_leffler-p03-b2,136,29.846133036138355,5.83278618905995,84.71804052025004,1595.9496603171258,2800.0,2.1.0
mittag_leffler_previous_refresh,4,0,v21-stylised-mittag_leffler-p04-b1,31,96.98360783733244,5.7672493933853355,385.8216900433962,1966.7573373604616,2800.0,2.1.0
mittag_leffler_previous_refresh,4,1,v21-stylised-mittag_leffler-p04-b2,54,52.26334860809197,6.0232723356659434,180.44626820644342,1413.3552035714704,2800.0,2.1.0
mittag_leffler_previous_refresh,5,0,v21-stylised-mittag_leffler-p05-b1,58,56.167573572610806,4.196499949412237,47.82306306198665,2621.5124505827634,2800.0,2.1.0
mittag_leffler_previous_refresh,5,1,v21-stylised-mittag_leffler-p05-b2,148,19.097332246918576,6.140819005608233,56.078188228283075,525.9609921869389,2800.0,2.1.0
mittag_leffler_previous_refresh,6,0,v21-stylised-mittag_leffler-p06-b1,21,266.6620243161271,11.453522902946872,56.354562380587595,5311.128232250575,2800.0,2.1.0
mittag_leffler_previous_refresh,6,1,v21-stylised-mittag_leffler-p06-b2,61,84.35916589899831,5.549177611391893,75.21802923346462,3072.680706040629,2800.0,2.1.0
mittag_leffler_previous_refresh,7,0,v21-stylised-mittag_leffler-p07-b1,121,23.323148013780816,5.680342543076358,93.60938040997642,402.2320292846662,2800.0,2.1.0
mittag_leffler_previous_refresh,7,1,v21-stylised-mittag_leffler-p07-b2,71,42.726313353351514,6.921694986191682,154.09839977663307,1390.1914106862932,2800.0,2.1.0
mittag_leffler_previous_refresh,8,0,v21-stylised-mittag_leffler-p08-b1,123,28.902190443447722,6.588525119305727,66.44507338459101,1014.872745133882,2800.0,2.1.0
mittag_leffler_previous_refresh,8,1,v21-stylised-mittag_leffler-p08-b2,50,56.22761841653124,9.569042812839449,118.01347193678937,1699.8520548348035,2800.0,2.1.0
mittag_leffler_previous_refresh,9,0,v21-stylised-mittag_leffler-p09-b1,41,91.82133464697162,3.4940425870075718,47.73779158721245,3386.0189304090877,2800.0,2.1.0
mittag_leffler_previous_refresh,9,1,v21-stylised-mittag_leffler-p09-b2,49,264.43769944922565,8.418508886446359,242.94861098063618,10547.828978284631,2800.0,2.1.0
mittag_leffler_previous_refresh,10,0,v21-stylised-mittag_leffler-p10-b1,71,41.35145869186128,6.049658560822193,208.68694429396996,802.7424925881587,2800.0,2.1.0
mittag_leffler_previous_refresh,10,1,v21-stylised-mittag_leffler-p10-b2,201,13.974364994539949,4.970446081077315,54.19709037854434,230.84852927715767,2800.0,2.1.0
mittag_leffler_previous_refresh,11,0,v21-stylised-mittag_leffler-p11-b1,78,47.001726437446855,8.242437447823225,97.65847150616474,1258.7912444582507,2800.0,2.1.0
mittag_leffler_previous_refresh,11,1,v21-stylised-mittag_leffler-p11-b2,150,19.00361226032964,5.384319825644498,89.3780697835053,420.96336726561503,2800.0,2.1.0
mittag_leffler_previous_refresh,12,0,v21-stylised-mittag_leffler-p12-b1,97,33.28294189748622,6.91317192299199,131.6401660802122,580.2603376863877,2800.0,2.1.0
mittag_leffler_previous_refresh,12,1,v21-stylised-mittag_leffler-p12-b2,19,229.3192772318342,13.152119259482491,470.50417622493893,4046.470600048322,2800.0,2.1.0
mittag_leffler_previous_refresh,13,0,v21-stylised-mittag_leffler-p13-b1,6,760.7982125530084,9.880004916583504,3349.430347510656,4432.404315433761,2800.0,2.1.0
mittag_leffler_previous_refresh,13,1,v21-stylised-mittag_leffler-p13-b2,162,20.278641075384343,6.67892909432423,51.61804875598568,639.5048122014468,2800.0,2.1.0
mittag_leffler_previous_refresh,14,0,v21-stylised-mittag_leffler-p14-b1,191,14.698608851259374,5.259662119463785,56.7895520498827,247.92622547637268,2800.0,2.1.0
mittag_leffler_previous_refresh,14,1,v21-stylised-mittag_leffler-p14-b2,141,22.10704098112041,7.519813501924109,82.71377547549666,630.241378144349,2800.0,2.1.0
mittag_leffler_previous_refresh,15,0,v21-stylised-mittag_leffler-p15-b1,118,24.580201053298303,6.515127426926663,51.71967058463478,1321.8008239017731,2800.0,2.1.0
mittag_leffler_previous_refresh,15,1,v21-stylised-mittag_leffler-p15-b2,162,17.473534358406628,5.24034301165487,78.73653996733391,298.0028829234174,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,0,0,v21-stylised-tempered_mittag_leffler-p00-b1,294,9.581122524158335,5.266329604771851,31.973963436851186,121.75380036760602,2800.0,2.1.0
tempered_mittag_leffler_previous_refresh,0,1,v21-stylised-tempered_mittag_leffler-p00-b2,233,12.086631499178704,5.262977922883351,50.08420701443737,129.32434328766774,2800.0,2.1.0
