target_id,schedule_id,execution_horizon_seconds,measurement_domain,event_book,response_book,impact_type,post_completion_lag_seconds,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,active_observation_fraction,paths,sides_per_path,software_version
S8-META-01,fast,15.0,operational,0,0,own,0.0,0.3414534035546027,0.0015969816212603456,0.3383233195769324,0.34458348753227297,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,5.0,0.23146452182989957,0.00022378288503008048,0.23102590737524062,0.23190313628455853,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,10.0,0.1843324059105163,5.4599953419339257e-05,0.1842253900018144,0.1844394218192182,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,20.0,0.13237220986191425,2.4371519548902453e-05,0.13232444168359841,0.1324199780402301,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,40.0,0.08741496333869808,3.483799147145285e-06,0.08740813509236968,0.08742179158502648,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,80.0,0.06002598121788752,2.0003647833043963e-06,0.06002206050291224,0.0600299019328628,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,120.0,0.05341513955121306,1.7404110189978995e-06,0.053411728345615826,0.0534185507568103,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,160.0,0.051279321810509204,2.562991897791455e-06,0.05127429834638953,0.05128434527462888,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,0,own,200.0,0.050237361428276464,3.2147927036172677e-06,0.050231060434577375,0.05024366242197555,1.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,0.0,0.14619090781989774,0.04006231658687484,0.06766876730962305,0.22471304833017242,0.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,5.0,0.23565064356798737,0.0335962397956357,0.1698020135685414,0.30149927356743333,0.375,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,10.0,0.21439746736534673,0.02986389323069747,0.1558642366331797,0.2729306980975138,0.625,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,20.0,0.18541466016036684,0.028474960256989895,0.12960373805666664,0.24122558226406704,0.75,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,40.0,0.10415699124724431,0.0034742662231214945,0.09734742944992618,0.11096655304456245,1.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,80.0,0.06351028255528704,0.00180850941925259,0.059965604093551964,0.06705496101702212,1.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,120.0,0.05468406378113357,0.0003432437385793047,0.054011306053518136,0.05535682150874901,1.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,160.0,0.052108989710124974,0.000439180331061555,0.05124819626124433,0.05296978315900562,1.0,8,2,1.8.2
S8-META-01,fast,15.0,calendar,0,0,own,200.0,0.05051956344502998,0.00011658444002335646,0.050291057942584205,0.05074806894747576,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,1,cross,0.0,0.03054524680357882,7.983365457024145e-06,0.030529599407283052,0.030560894199874587,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,1,cross,5.0,0.04576710133820509,3.247142140017027e-05,0.04570345735226076,0.04583074532414943,1.0,8,2,1.8.2
S8-META-01,fast,15.0,operational,0,1,cross,10.0,0.055639345718226464,3.489963276145948e-05,0.055570942438014005,0.05570774899843892,1.0,8,2,1.8.2
