target_id,lag_seconds,analytical_clock_factor,accepted_clock_thick_boundary,analytical_coupling_factor,accepted_corrected_coupling,analytical_leading_order_product,accepted_component_product,accepted_component_product_standard_error,reduced_exact_conditional_covariance,reduced_simulated_covariance,reduced_covariance_standard_error,reduced_covariance_residual_standard_error,reduced_exact_conditional_correlation,reduced_simulated_correlation,reduced_correlation_residual_standard_error,thick_exact_reduced_same_clock_covariance,thick_simulated_combined_covariance,thick_covariance_standard_error,thick_covariance_residual_standard_error,thick_exact_reduced_same_clock_correlation,thick_simulated_combined_correlation,thick_correlation_residual_standard_error,exact_reduced_minus_product,thick_minus_exact_reduced,thick_minus_accepted_component_product,thick_minus_analytical_product,equal_book_clock_rate_per_second,coupling_rate_per_second,frozen_covariance_scale,subordination,fit_policy,software_version
CNF-CMB-LOB-01,20.0,0.5676676416183064,0.5438330397021032,0.21306131942526685,0.21471415498997146,0.12094801671822589,0.11676865157526468,0.01211517988162784,0.18947712282216275,0.1928851728011232,0.004939951451246506,0.004946846719254086,0.10991919527097169,0.11262324428222639,0.0028044534007257587,0.18912921103495897,0.20415754639973335,0.017462632198524473,0.017501053315287354,0.10986951532306494,0.12568866369919932,0.01013673671385838,0.06852910610393687,0.015028335364774381,0.08738889482446867,0.08320952968150747,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,40.0,0.7545789097221836,0.7319165800020586,0.36787944117144233,0.3905887160114155,0.27759406762835315,0.28587835721047056,0.02505466374004953,0.3421508966931864,0.3414250481475393,0.00787085999063379,0.007887841561740917,0.21270301648704654,0.21416232127662682,0.004497168336933766,0.34187888084467144,0.35131194890127365,0.0280412628750479,0.028082802924730352,0.21266760206842522,0.23013911033063056,0.016691367916761235,0.06455682906483323,0.009433068056602212,0.0654335916908031,0.0737178812729205,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,60.0,0.8337464586961111,0.811721893903199,0.48208677343228656,0.50783448251963,0.40193814013340334,0.41222036794018513,0.03824646632648775,0.45859449097849453,0.4564958374149166,0.01110035539948071,0.011116890095587561,0.30410782960612753,0.30575602917318645,0.006234434951763376,0.45852918994742287,0.4576258852440652,0.03502489015993553,0.035063526515980506,0.30419134021551714,0.3166590882365263,0.01999840158992342,0.056656350845091186,-0.0009033047033576436,0.045405517303880094,0.05568774511066188,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,80.0,0.8750419328284879,0.8593549994257716,0.5676676416183064,0.5870539062479052,0.4967329903258722,0.5044877092665656,0.04830290780150263,0.5470993696676691,0.5431087055698705,0.013347260863905084,0.013359393423060254,0.3831871945610723,0.3848738287675559,0.007079775313113055,0.5471424716511492,0.5475519169261586,0.04234156982824364,0.04236990432875302,0.38331750048403324,0.39488072970640015,0.02273877409732746,0.05036637934179694,0.0004094452750094124,0.04306420765959296,0.05081892660028636,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,100.0,0.9000045399929762,0.8877197169716361,0.6328339994495595,0.6455584153746028,0.5695534725665162,0.5730749337850003,0.058006185992366795,0.6149336557212766,0.6086652138857553,0.014944202099214743,0.01495731247456202,0.4505269453935983,0.452800425318461,0.007291826466174954,0.6150536899595042,0.6191947369603104,0.050527829670080245,0.05055778464169984,0.4507228017759127,0.4621320704298239,0.02588188798538032,0.045380183154760334,0.004141047000806197,0.04611980317531006,0.04964126439379413,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,120.0,0.9166671786843628,0.9058610029851196,0.6832623561226213,0.6902538979194894,0.6263241762881536,0.6252740882837371,0.0645222191689207,0.6676065267046467,0.6608641681639862,0.016438051729843296,0.01645162550646952,0.5074629832285127,0.5111449929380801,0.007310304484105686,0.6678563428042315,0.6726755937977775,0.05688028356810835,0.056909649133070464,0.5077238910668541,0.5149408910330118,0.026909796306184675,0.041282350416493085,0.004819250993546076,0.04740150551404043,0.046351417509623905,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,140.0,0.928571487966337,0.9236748966784867,0.7229135381206624,0.7223629465981789,0.6712768997637127,0.6672285200634401,0.07031191463010278,0.7091075607907035,0.7023639850077213,0.01773400464530388,0.017748027159732175,0.5555265795212165,0.5606378876957447,0.0071194871941758775,0.7094544792809562,0.7176389632883258,0.06309155388716267,0.06312423618515225,0.5558418141586186,0.5621117070079344,0.026912186502251568,0.03783066102699073,0.008184484007369597,0.05041044322488564,0.04636206352461303,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,160.0,0.9375000070334484,0.9411548064234014,0.7545789097221836,0.7507579788289365,0.7074177331718389,0.7065794802355718,0.0757612706497685,0.7422927490825229,0.7349321861904461,0.01919823231944816,0.019211547126264026,0.596185253418647,0.6010263054683944,0.007061640488955657,0.7426156236940121,0.7553947089923979,0.06859097389030164,0.0686066511600586,0.5965029031910747,0.6042800884770082,0.02604275703603576,0.03487501591068398,0.012779085298385784,0.04881522875682609,0.04797697582055904,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,180.0,0.9444444452905544,0.9536355444489524,0.7802464436751649,0.7733169732550601,0.7368994196867189,0.7374625528217051,0.0806228411920295,0.7692165657761977,0.7608559631278453,0.020637507698271947,0.020649669902173977,0.6307383751509693,0.6343100994234145,0.0070893781001446134,0.7694503934334672,0.7843284671512621,0.07370573373947271,0.07370607642016361,0.6310230280998176,0.6402360293434624,0.025322253759683198,0.03231714608947878,0.014878073717794926,0.046865914329557,0.04742904746454324,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
CNF-CMB-LOB-01,200.0,0.9500000001030576,0.9656615829843361,0.8013475893998171,0.7913079768843724,0.7612802100124112,0.7641357135862955,0.08569946845128028,0.7913640778060158,0.7809576761718374,0.021841823251101764,0.021853073125375322,0.660280553059745,0.6616945593667106,0.0070100931510998134,0.7915285067259902,0.8108055556388024,0.07869840526393031,0.07869125386608031,0.6605331309867795,0.671274988276791,0.024558086486014787,0.030083867793604613,0.019277048912812234,0.046669842052506905,0.049525345626391215,0.1,0.025,1.0568450226140758e-06,previous_refresh_then_previous_uniform_state,no_component_or_combined_refit,1.7.11
