target_id,lag_seconds,analytical_normalized_covariance,simulated_normalized_covariance,covariance_jackknife_standard_error,covariance_normal_95_lower,covariance_normal_95_upper,analytical_exact_return_correlation,simulated_return_correlation,correlation_jackknife_standard_error,correlation_normal_95_lower,correlation_normal_95_upper,frozen_covariance_scale,target_rate_per_second,clock,software_version
CNF-CP-CORR-REC-01,20.0,0.21306131942526685,0.21471415498997146,0.02188545746452467,0.1718186583595031,0.2576096516204398,0.11923258572965689,0.1252995767745161,0.012459183463030253,0.10087957718697682,0.1497195763620554,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,40.0,0.36787944117144233,0.3905887160114155,0.03324042537862739,0.3254374822693058,0.45573994975352516,0.2253996735605641,0.2476699487899965,0.019136906463987274,0.21016161212058146,0.2851782854594116,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,60.0,0.48208677343228656,0.50783448251963,0.04535140563819028,0.4189457274687771,0.596723237570483,0.3175983745278873,0.3399472787266992,0.024545188663819224,0.29183870894561353,0.3880558485077849,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,80.0,0.5676676416183064,0.5870539062479052,0.0535565274229318,0.48208311249895885,0.6920246999968516,0.3963239664987252,0.40941404678931026,0.026235772313139012,0.3579919330555578,0.4608361605230627,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,100.0,0.6328339994495595,0.6455584153746028,0.061957318670676644,0.5241220707800766,0.766994759969129,0.4628801471034033,0.4707592615144529,0.02832447807346857,0.4152432844904545,0.5262752385384513,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,120.0,0.6832623561226213,0.6902538979194894,0.06711980525542682,0.5586990796188529,0.821808716220126,0.5189054625267858,0.5227033340905004,0.02856734315055326,0.46671134151541604,0.5786953266655848,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,140.0,0.7229135381206624,0.7223629465981789,0.07122467638676393,0.5827625808801216,0.8619633123162362,0.5660646790169835,0.5642656952585364,0.029037233414586815,0.5073527177659463,0.6211786727511266,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,160.0,0.7545789097221836,0.7507579788289365,0.07458327138696844,0.6045747669104784,0.8969411907473945,0.605882552987648,0.6061593873461332,0.028431508023670234,0.5504336316197396,0.6618851430725268,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,180.0,0.7802464436751649,0.7733169732550601,0.07739999425022873,0.6216129845246118,0.9250209619855084,0.6396754816817898,0.6416417547222096,0.027333697250418284,0.5880677081113898,0.6952158013330295,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,200.0,0.8013475893998171,0.7913079768843724,0.0802828619312644,0.6339535674990942,0.9486623862696506,0.6685404228224683,0.6713106818155076,0.026388588716548547,0.6195890479310724,0.7230323156999428,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,220.0,0.8189248675342662,0.8048652748690125,0.08328662126243323,0.6416234971946434,0.9681070525433816,0.6933723732076168,0.6950366068817055,0.025812612203457784,0.6444438869629283,0.7456293268004828,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,240.0,0.8337464586961111,0.8153403150418823,0.08645345436145777,0.6458915444934251,0.9847890855903395,0.7148929706691138,0.7146871100642046,0.025412925507948582,0.6648777760686254,0.7644964440597838,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,260.0,0.8463851444912274,0.8252463003165664,0.0898772473552474,0.6490868955002815,1.0014057051328513,0.7336808645013075,0.7332297250990608,0.025249404577327567,0.6837408921274988,0.7827185580706228,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,280.0,0.8572731259950792,0.8361442820377186,0.09293260524757155,0.6539963757524784,1.0182921883229588,0.7501994969196704,0.7500032037581099,0.024586144468669135,0.7018143605995184,0.7981920469167014,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,300.0,0.8667404112493531,0.8468971036079455,0.09639304667251879,0.6579667321298086,1.0358274750860823,0.764820717029965,0.7643506653645759,0.023622195328841345,0.7180511625200469,0.8106501682091048,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,320.0,0.8750419328284879,0.8559370410190793,0.09981397558900076,0.6603016488646378,1.0515724331735208,0.7778440444705732,0.7782924423505538,0.022759657732006305,0.7336835131958215,0.8229013715052862,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,340.0,0.8823768786316483,0.8635967103310491,0.10267749396744763,0.6623488221548518,1.0648445985072466,0.7895120114831895,0.7925266124687195,0.02133720583863158,0.7507056890250016,0.8343475359124374,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,360.0,0.8889026010893429,0.8705773376044804,0.10555016640484116,0.6636990114509917,1.077455663757969,0.8000222140388785,0.8073835040348231,0.01983397570689162,0.7685089116493155,0.8462580964203307,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,380.0,0.8947447212452513,0.8757856297641299,0.10855223972539324,0.6630232399023591,1.0885480196259005,0.8095367092508512,0.8181020106665563,0.018832040364647595,0.781191211551847,0.8550128097812656,1.0568450226140758e-06,0.025,identity,1.7.7
CNF-CP-CORR-REC-01,400.0,0.9000045399929762,0.8797669558114595,0.11130250860282655,0.6616140389499194,1.0979198726729995,0.8181893223334117,0.8283871856028618,0.01811618074451171,0.7928794713436189,0.8638948998621048,1.0568450226140758e-06,0.025,identity,1.7.7
