target_id,sign_convention,calendar_lag_index,calendar_lag_seconds,mean_signed_flow_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,bin_seconds,paths,books_per_path,software_version
S8-DEPEND-01,ground_truth_aggressor,0,0.0,1.0,0.0,1.0,1.0,109,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,1,5.0,0.013665331431148604,0.013391820054275286,-0.012582635875230957,0.03991329873752816,108,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,2,10.0,0.0493340388518864,0.015345480794124,0.019256896495403356,0.07941118120836944,107,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,3,15.0,0.03103806076383468,0.017507302949906545,-0.003276253017982147,0.0653523745456515,106,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,4,20.0,0.06838939636387731,0.020026267307570594,0.029137912441038943,0.10764088028671567,105,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,5,25.0,0.07289140972267993,0.018118287468242292,0.037379566284925045,0.10840325316043482,104,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,6,30.0,0.015427056104448082,0.030108610133467318,-0.043585819757147856,0.07443993196604402,103,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,7,35.0,0.005348321506536297,0.02425520229055213,-0.04219187498294588,0.05288851799601847,102,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,8,40.0,-0.020598165096744534,0.016314004516444845,-0.05257361394897643,0.011377283755487359,101,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,9,45.0,0.01985591722024943,0.021227194865035208,-0.021749384715219575,0.061461219155718436,100,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,10,50.0,0.008227171622226068,0.024497521516918922,-0.03978797055093502,0.056242313795387154,99,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,11,55.0,0.01328510069011213,0.02939691911490381,-0.044332860775099334,0.07090306215532359,98,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,12,60.0,0.022364339892516027,0.020866607230000705,-0.018534210278285352,0.06326289006331741,97,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,13,65.0,-0.046933457968760785,0.0218610533888265,-0.08978112261086073,-0.0040857933266608415,96,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,14,70.0,-0.01693605849434089,0.025437956582155207,-0.0667944533953651,0.032922336406683315,95,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,15,75.0,-0.00806408795064465,0.04005238606998344,-0.08656676464781218,0.0704385887465229,94,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,16,80.0,-0.013200873875083657,0.019995859231275868,-0.05239275796838436,0.02599101021821704,93,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,17,85.0,-0.049254780992423586,0.028654483569821504,-0.10541756878927373,0.006908006804426561,92,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,18,90.0,-0.02042989041403457,0.027608236459082416,-0.0745420338738361,0.03368225304576696,91,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,19,95.0,-0.027124061293629195,0.026760749474412503,-0.0795751302634777,0.02532700767621931,90,5.0,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,20,100.0,-0.06892550088446367,0.01758291298253379,-0.1033880103302299,-0.034462991438697445,89,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,0,0.0,1.0,0.0,1.0,1.0,109,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,1,5.0,0.013665331431148604,0.013391820054275286,-0.012582635875230957,0.03991329873752816,108,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,2,10.0,0.0493340388518864,0.015345480794124,0.019256896495403356,0.07941118120836944,107,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,3,15.0,0.03103806076383468,0.017507302949906545,-0.003276253017982147,0.0653523745456515,106,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,4,20.0,0.06838939636387731,0.020026267307570594,0.029137912441038943,0.10764088028671567,105,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,5,25.0,0.07289140972267993,0.018118287468242292,0.037379566284925045,0.10840325316043482,104,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,6,30.0,0.015427056104448082,0.030108610133467318,-0.043585819757147856,0.07443993196604402,103,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,7,35.0,0.005348321506536297,0.02425520229055213,-0.04219187498294588,0.05288851799601847,102,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,8,40.0,-0.020598165096744534,0.016314004516444845,-0.05257361394897643,0.011377283755487359,101,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,9,45.0,0.01985591722024943,0.021227194865035208,-0.021749384715219575,0.061461219155718436,100,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,10,50.0,0.008227171622226068,0.024497521516918922,-0.03978797055093502,0.056242313795387154,99,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,11,55.0,0.01328510069011213,0.02939691911490381,-0.044332860775099334,0.07090306215532359,98,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,12,60.0,0.022364339892516027,0.020866607230000705,-0.018534210278285352,0.06326289006331741,97,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,13,65.0,-0.046933457968760785,0.0218610533888265,-0.08978112261086073,-0.0040857933266608415,96,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,14,70.0,-0.01693605849434089,0.025437956582155207,-0.0667944533953651,0.032922336406683315,95,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,15,75.0,-0.00806408795064465,0.04005238606998344,-0.08656676464781218,0.0704385887465229,94,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,16,80.0,-0.013200873875083657,0.019995859231275868,-0.05239275796838436,0.02599101021821704,93,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,17,85.0,-0.049254780992423586,0.028654483569821504,-0.10541756878927373,0.006908006804426561,92,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,18,90.0,-0.02042989041403457,0.027608236459082416,-0.0745420338738361,0.03368225304576696,91,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,19,95.0,-0.027124061293629195,0.026760749474412503,-0.0795751302634777,0.02532700767621931,90,5.0,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,20,100.0,-0.06892550088446367,0.01758291298253379,-0.1033880103302299,-0.034462991438697445,89,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,0,0.0,1.0,0.0,1.0,1.0,109,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,1,5.0,0.008918154000727978,0.014936583732978804,-0.020357550115910478,0.03819385811736643,108,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,2,10.0,0.04607361964036597,0.01416837174834422,0.0183036110136113,0.07384362826712064,107,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,3,15.0,0.026207544927419994,0.013575182619698645,-0.0003998130071893487,0.052814902862029334,106,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,4,20.0,0.06040544807688441,0.019314862908420924,0.022548316776379397,0.09826257937738941,105,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,5,25.0,0.05235224731444979,0.01872837310630958,0.015644636026083014,0.08905985860281657,104,5.0,8,2,1.8.3
S8-DEPEND-01,legacy_tick_rule,6,30.0,0.010026991996499887,0.026692750340210136,-0.04229079867031198,0.062344782663311754,103,5.0,8,2,1.8.3
