target_id,sign_convention,event_lag,mean_sign_autocorrelation,standard_error,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,paths,books_per_path,software_version
S8-DEPEND-01,ground_truth_aggressor,0,1.0,0.0,1.0,1.0,48,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,1,0.40133636053333,0.040588816621211464,0.32178227995575553,0.48089044111090445,47,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,2,0.17288899300857208,0.043163510804165466,0.08828851183240777,0.2574894741847364,46,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,3,0.0331221785395181,0.05191153189857654,-0.06862442398169193,0.13486878106072814,45,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,4,-0.04489963979760639,0.030595255298999778,-0.10486634018364596,0.015067060588433177,44,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,5,0.03330293577588367,0.03682537816475641,-0.03887480542703889,0.10548067697880623,43,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,6,0.034166399626867155,0.05103609409316376,-0.0658643447957338,0.13419714404946811,42,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,7,-0.009883837678192363,0.0372534071152366,-0.08290051562405609,0.06313284026767138,41,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,8,-0.07947728402140355,0.027472965456809693,-0.13332429631675055,-0.025630271726056558,40,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,9,-0.08532766388752346,0.03237800855994937,-0.14878856066502422,-0.021866767110022695,39,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,10,-0.22581983928997276,0.0233984293322948,-0.27168076078127057,-0.17995891779867496,38,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,11,-0.1825332599991659,0.016060415681845984,-0.21401167473558402,-0.15105484526274776,37,8,2,1.8.3
S8-DEPEND-01,ground_truth_aggressor,12,-0.20371375819134394,0.021443657481727784,-0.2457433268555304,-0.16168418952715746,36,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,0,1.0,0.0,1.0,1.0,48,8,2,1.8.3
S8-DEPEND-01,quote_midpoint,1,0.40133636053333,0.040588816621211464,0.32178227995575553,0.48089044111090445,47,8,2,1.8.3
