target_id,lag_seconds,clock_only_theory,clock_only_simulation,clock_only_simulation_standard_error,coupling_only_theory,coupling_only_simulation,coupling_only_simulation_standard_error,combined_simulation,combined_simulation_standard_error,leading_order_product,estimator_aware_finite_grid_finite_step_theory,combined_minus_estimator_aware_theory,combined_minus_leading_order_product,fit_policy,software_version
S9-EPPS-01,20.0,0.5676676416183064,0.5438330397021032,0.010537515900132292,0.21306131942526685,0.21471415498997146,0.02188545746452467,0.20415754639973335,0.017462632198524473,0.12094801671822589,0.18912921103495897,0.015028335364774381,0.08320952968150747,frozen_no_retuning,1.9.0
S9-EPPS-01,40.0,0.7545789097221836,0.7319165800020586,0.015324109652066712,0.36787944117144233,0.3905887160114155,0.03324042537862739,0.35131194890127365,0.0280412628750479,0.27759406762835315,0.34187888084467144,0.009433068056602212,0.0737178812729205,frozen_no_retuning,1.9.0
S9-EPPS-01,60.0,0.8337464586961111,0.811721893903199,0.020427469933620587,0.48208677343228656,0.50783448251963,0.04535140563819028,0.4576258852440652,0.03502489015993553,0.40193814013340334,0.45852918994742287,-0.0009033047033576436,0.05568774511066188,frozen_no_retuning,1.9.0
S9-EPPS-01,80.0,0.8750419328284879,0.8593549994257716,0.024974495453998637,0.5676676416183064,0.5870539062479052,0.0535565274229318,0.5475519169261586,0.04234156982824364,0.4967329903258722,0.5471424716511492,0.0004094452750094124,0.05081892660028636,frozen_no_retuning,1.9.0
S9-EPPS-01,100.0,0.9000045399929762,0.8877197169716361,0.028547751813309537,0.6328339994495595,0.6455584153746028,0.061957318670676644,0.6191947369603104,0.050527829670080245,0.5695534725665162,0.6150536899595042,0.004141047000806197,0.04964126439379413,frozen_no_retuning,1.9.0
S9-EPPS-01,120.0,0.9166671786843628,0.9058610029851196,0.03128508969859602,0.6832623561226213,0.6902538979194894,0.06711980525542682,0.6726755937977775,0.05688028356810835,0.6263241762881536,0.6678563428042315,0.004819250993546076,0.046351417509623905,frozen_no_retuning,1.9.0
S9-EPPS-01,140.0,0.928571487966337,0.9236748966784867,0.034348674856834134,0.7229135381206624,0.7223629465981789,0.07122467638676393,0.7176389632883258,0.06309155388716267,0.6712768997637127,0.7094544792809562,0.008184484007369597,0.04636206352461303,frozen_no_retuning,1.9.0
S9-EPPS-01,160.0,0.9375000070334484,0.9411548064234014,0.0379678436165405,0.7545789097221836,0.7507579788289365,0.07458327138696844,0.7553947089923979,0.06859097389030164,0.7074177331718389,0.7426156236940121,0.012779085298385784,0.04797697582055904,frozen_no_retuning,1.9.0
S9-EPPS-01,180.0,0.9444444452905544,0.9536355444489524,0.04194055754961916,0.7802464436751649,0.7733169732550601,0.07739999425022873,0.7843284671512621,0.07370573373947271,0.7368994196867189,0.7694503934334672,0.014878073717794926,0.04742904746454324,frozen_no_retuning,1.9.0
S9-EPPS-01,200.0,0.9500000001030576,0.9656615829843361,0.04615828954050425,0.8013475893998171,0.7913079768843724,0.0802828619312644,0.8108055556388024,0.07869840526393031,0.7612802100124112,0.7915285067259902,0.019277048912812234,0.049525345626391215,frozen_no_retuning,1.9.0
S9-EPPS-01,220.0,0.954545454558134,0.9782884759715678,0.050589663308102495,0.8189248675342662,0.8048652748690125,0.08328662126243323,0.8370290761548629,0.08366411499094183,0.7817010099294558,0.8099360458532668,0.027093030301596044,0.05532806622540709,frozen_no_retuning,1.9.0
S9-EPPS-01,240.0,0.9583333333349063,0.9878325575322661,0.05464127443156679,0.8337464586961111,0.8153403150418823,0.08645345436145777,0.8582360845813233,0.08800189672239422,0.799007022918418,0.8254899383926406,0.03274614618868266,0.059229061662905313,frozen_no_retuning,1.9.0
S9-EPPS-01,260.0,0.9615384615386581,0.9953584352224427,0.05852963483837224,0.8463851444912274,0.8252463003165664,0.0898772473552474,0.8771723351123718,0.0917568090146109,0.8138318697032696,0.8387838716223845,0.03838846348998726,0.06334046540910221,frozen_no_retuning,1.9.0
