measurement_domain,object,index,x,y,reference_x,reference_y,sample_count,software_version
previous_refresh_calendar,density,0,-9.75609756097561,0.0,-9.75609756097561,8.560971725348297e-22,16928,2.1.0
previous_refresh_calendar,density,1,-9.268292682926829,0.0,-9.268292682926829,8.86524608653011e-20,16928,2.1.0
previous_refresh_calendar,density,2,-8.78048780487805,0.00024220226843100167,-8.78048780487805,7.23630049813697e-18,16928,2.1.0
previous_refresh_calendar,density,3,-8.292682926829269,0.0,-8.292682926829269,4.655865824431885e-16,16928,2.1.0
previous_refresh_calendar,density,4,-7.804878048780488,0.0,-7.804878048780488,2.3612522448665426e-14,16928,2.1.0
previous_refresh_calendar,density,5,-7.317073170731707,0.00024220226843100167,-7.317073170731707,9.439356238869812e-13,16928,2.1.0
previous_refresh_calendar,density,6,-6.829268292682928,0.00012110113421550083,-6.829268292682928,2.974407272484088e-11,16928,2.1.0
previous_refresh_calendar,density,7,-6.341463414634147,0.00024220226843100167,-6.341463414634147,7.387824277232452e-10,16928,2.1.0
previous_refresh_calendar,density,8,-5.853658536585366,0.000726606805293005,-5.853658536585366,1.4464077651965064e-08,16928,2.1.0
previous_refresh_calendar,density,9,-5.365853658536585,0.0012110113421550082,-5.365853658536585,2.2321480552990658e-07,16928,2.1.0
previous_refresh_calendar,density,10,-4.878048780487806,0.0009688090737240067,-4.878048780487806,2.715271836596169e-06,16928,2.1.0
previous_refresh_calendar,density,11,-4.390243902439025,0.003390831758034023,-4.390243902439025,2.6035246726877082e-05,16928,2.1.0
previous_refresh_calendar,density,12,-3.902439024390244,0.006176157844990543,-3.902439024390244,0.00019677419542588965,16928,2.1.0
previous_refresh_calendar,density,13,-3.4146341463414633,0.01017249527410207,-3.4146341463414633,0.0011722835152347955,16928,2.1.0
previous_refresh_calendar,density,14,-2.9268292682926833,0.014047731568998096,-2.9268292682926833,0.005504973536072423,16928,2.1.0
previous_refresh_calendar,density,15,-2.439024390243903,0.022888114366729658,-2.439024390243903,0.02037679508699104,16928,2.1.0
previous_refresh_calendar,density,16,-1.951219512195122,0.03705694706994325,-1.951219512195122,0.05945311111507299,16928,2.1.0
previous_refresh_calendar,density,17,-1.463414634146341,0.06055056710775042,-1.463414634146341,0.13673237525859205,16928,2.1.0
previous_refresh_calendar,density,18,-0.975609756097561,0.07871573724007554,-0.975609756097561,0.2478712721965275,16928,2.1.0
previous_refresh_calendar,density,19,-0.4878048780487809,0.10693230151228723,-0.4878048780487809,0.3541922859284259,16928,2.1.0
previous_refresh_calendar,density,20,0.0,1.3616611531190914,0.0,0.3989422804014327,16928,2.1.0
previous_refresh_calendar,density,21,0.48780487804878003,0.10729560491493374,0.48780487804878003,0.35419228592842605,16928,2.1.0
previous_refresh_calendar,density,22,0.9756097560975601,0.08464969281663508,0.9756097560975601,0.2478712721965277,16928,2.1.0
previous_refresh_calendar,density,23,1.463414634146341,0.05679643194706989,1.463414634146341,0.13673237525859205,16928,2.1.0
previous_refresh_calendar,density,24,1.951219512195122,0.034271620982986736,1.951219512195122,0.05945311111507299,16928,2.1.0
previous_refresh_calendar,density,25,2.439024390243903,0.023735822306238163,2.439024390243903,0.02037679508699104,16928,2.1.0
previous_refresh_calendar,density,26,2.926829268292683,0.014047731568998096,2.926829268292683,0.0055049735360724284,16928,2.1.0
previous_refresh_calendar,density,27,3.414634146341463,0.011141304347826076,3.414634146341463,0.0011722835152347976,16928,2.1.0
previous_refresh_calendar,density,28,3.902439024390244,0.005086247637051035,3.902439024390244,0.00019677419542588965,16928,2.1.0
previous_refresh_calendar,density,29,4.390243902439024,0.0039963374291115275,4.390243902439024,2.6035246726877173e-05,16928,2.1.0
previous_refresh_calendar,density,30,4.878048780487804,0.001332112476370509,4.878048780487804,2.715271836596193e-06,16928,2.1.0
previous_refresh_calendar,density,31,5.365853658536585,0.0006055056710775041,5.365853658536585,2.2321480552990658e-07,16928,2.1.0
previous_refresh_calendar,density,32,5.853658536585366,0.0006055056710775041,5.853658536585366,1.4464077651965064e-08,16928,2.1.0
previous_refresh_calendar,density,33,6.341463414634147,0.00048440453686200333,6.341463414634147,7.387824277232452e-10,16928,2.1.0
previous_refresh_calendar,density,34,6.829268292682928,0.00024220226843100167,6.829268292682928,2.974407272484088e-11,16928,2.1.0
previous_refresh_calendar,density,35,7.3170731707317085,0.00024220226843100167,7.3170731707317085,9.439356238869711e-13,16928,2.1.0
previous_refresh_calendar,density,36,7.804878048780488,0.0,7.804878048780488,2.3612522448665426e-14,16928,2.1.0
previous_refresh_calendar,density,37,8.292682926829267,0.0,8.292682926829267,4.655865824431951e-16,16928,2.1.0
previous_refresh_calendar,density,38,8.780487804878048,0.0,8.780487804878048,7.236300498137074e-18,16928,2.1.0
previous_refresh_calendar,density,39,9.268292682926829,0.00012110113421550083,9.268292682926829,8.86524608653011e-20,16928,2.1.0
previous_refresh_calendar,density,40,9.75609756097561,0.0,9.75609756097561,8.560971725348297e-22,16928,2.1.0
previous_refresh_calendar,qq,0,-2.3263478740408408,-3.311368495193313,-2.3263478740408408,-2.3263478740408408,16928,2.1.0
previous_refresh_calendar,qq,1,-1.8867051099724252,-2.183184016053792,-1.8867051099724252,-1.8867051099724252,16928,2.1.0
previous_refresh_calendar,qq,2,-1.6526603903079105,-1.680191589705728,-1.6526603903079105,-1.6526603903079105,16928,2.1.0
previous_refresh_calendar,qq,3,-1.4847879686497152,-1.3425034739215056,-1.4847879686497152,-1.4847879686497152,16928,2.1.0
previous_refresh_calendar,qq,4,-1.350673639581101,-1.0662359129027326,-1.350673639581101,-1.350673639581101,16928,2.1.0
previous_refresh_calendar,qq,5,-1.2372345991628273,-0.8191830027364728,-1.2372345991628273,-1.2372345991628273,16928,2.1.0
previous_refresh_calendar,qq,6,-1.1378095891304392,-0.6007677218427653,-1.1378095891304392,-1.1378095891304392,16928,2.1.0
previous_refresh_calendar,qq,7,-1.0485180294966427,-0.41831085027139553,-1.0485180294966427,-1.0485180294966427,16928,2.1.0
previous_refresh_calendar,qq,8,-0.9668880522656621,-0.25305755551945086,-0.9668880522656621,-0.9668880522656621,16928,2.1.0
previous_refresh_calendar,qq,9,-0.8912408008676285,-0.09288943839414893,-0.8912408008676285,-0.8912408008676285,16928,2.1.0
previous_refresh_calendar,qq,10,-0.8203791459684606,0.0005628966740548725,-0.8203791459684606,-0.8203791459684606,16928,2.1.0
previous_refresh_calendar,qq,11,-0.7534159518148675,0.0005628966740548725,-0.7534159518148675,-0.7534159518148675,16928,2.1.0
previous_refresh_calendar,qq,12,-0.6896727596991077,0.0005628966740548725,-0.6896727596991077,-0.6896727596991077,16928,2.1.0
previous_refresh_calendar,qq,13,-0.6286167374378782,0.0005628966740548725,-0.6286167374378782,-0.6286167374378782,16928,2.1.0
previous_refresh_calendar,qq,14,-0.5698196890956568,0.0005628966740548725,-0.5698196890956568,-0.5698196890956568,16928,2.1.0
previous_refresh_calendar,qq,15,-0.5129304106147282,0.0005628966740548725,-0.5129304106147282,-0.5129304106147282,16928,2.1.0
previous_refresh_calendar,qq,16,-0.4576554489294859,0.0005628966740548725,-0.4576554489294859,-0.4576554489294859,16928,2.1.0
previous_refresh_calendar,qq,17,-0.4037453329153643,0.0005628966740548725,-0.4037453329153643,-0.4037453329153643,16928,2.1.0
previous_refresh_calendar,qq,18,-0.3509844690820791,0.0005628966740548725,-0.3509844690820791,-0.3509844690820791,16928,2.1.0
previous_refresh_calendar,qq,19,-0.29918354998931324,0.0005628966740548725,-0.29918354998931324,-0.29918354998931324,16928,2.1.0
previous_refresh_calendar,qq,20,-0.24817371845931258,0.0005628966740548725,-0.24817371845931258,-0.24817371845931258,16928,2.1.0
previous_refresh_calendar,qq,21,-0.1978019761213284,0.0005628966740548725,-0.1978019761213284,-0.1978019761213284,16928,2.1.0
