tier,target_id,lag_seconds,exact_equal_rate_curve,old_pooled_rate_envelope,normalized_simulation,jackknife_standard_error,normal_95_lower,normal_95_upper,realized_exact_overlap,identity_reference_correlation,equal_book_rate_per_second,pooled_minimum_wait_rate_per_second,subordination,estimator,software_version
reduced_reference,CNF-CLK-REF-01,20.0,0.5676676416183064,0.7545789097221836,0.5690557076062186,0.004510650404264818,0.5602148328138595,0.5778965823985777,0.5681722561556157,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,20.0,0.5676676416183064,0.7545789097221836,0.5438330397021032,0.010537515900132292,0.5231795085378439,0.5644865708663624,0.5693096351939531,0.796091704967539,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,40.0,0.7545789097221836,0.8750419328284879,0.7556990993997771,0.00499325700183661,0.7459123156761773,0.7654858831233768,0.7550212363160206,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,40.0,0.7545789097221836,0.8750419328284879,0.7319165800020586,0.015324109652066712,0.7018813250840079,0.7619518349201093,0.7567640652989617,0.7951808951192353,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,60.0,0.8337464586961111,0.9166671786843628,0.83253127333759,0.005860643670005613,0.821044411744379,0.844018134930801,0.833957666667913,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,60.0,0.8337464586961111,0.9166671786843628,0.811721893903199,0.020427469933620587,0.7716840528333027,0.8517597349730954,0.8352956640058578,0.7916002747427221,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,80.0,0.8750419328284879,0.9375000070334484,0.87298800221218,0.006391291829678354,0.8604610702260104,0.8855149341983496,0.8751496603769559,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,80.0,0.8750419328284879,0.9375000070334484,0.8593549994257716,0.024974495453998637,0.8104049883359343,0.908305010515609,0.8762327326450322,0.7833908498513108,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,100.0,0.9000045399929762,0.9500000001030576,0.8968800853349064,0.007033937048980981,0.8830935687189037,0.9106666019509091,0.9000757695249689,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,100.0,0.9000045399929762,0.9500000001030576,0.8877197169716361,0.028547751813309537,0.8317661234175494,0.9436733105257228,0.9009411960481546,0.7787578968318434,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
reduced_reference,CNF-CLK-REF-01,120.0,0.9166671786843628,0.9583333333349063,0.9134378167110104,0.007798362427383997,0.8981530263533378,0.928722607068683,0.9167185697805057,0.8,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
thick_boundary,CNF-CLK-LOB-01,120.0,0.9166671786843628,0.9583333333349063,0.9058610029851196,0.03128508969859602,0.8445422271758715,0.9671797787943678,0.9174743196602363,0.7768977231558776,0.1,0.2,previous_refresh_then_previous_uniform_state,ratio_of_pooled_cross_and_square_sums,1.7.4
