target_id,calendar_scale_seconds,analytical_clock,analytical_coupling,analytical_combined,simulation_grouped_mean,simulation_normal_95_lower,simulation_normal_95_upper,simulation_pooled,grouped_mean_minus_analytical_combined,normal_95_lower_minus_analytical_combined,normal_95_upper_minus_analytical_combined,pooled_minus_analytical_combined,grouped_mean_to_analytical_combined_ratio,registration,software_version
OVL-EPP-01,20.0,0.5676676416183064,0.21306131942526685,0.12094801671822589,0.03130474903245212,0.0034475025883447218,0.05916199547655951,0.0318431802085067,-0.08964326768577377,-0.11750051412988116,-0.06178602124166638,-0.08910483650971919,0.2588281303147218,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,40.0,0.7545789097221836,0.36787944117144233,0.27759406762835315,0.052634282020613835,0.015179944104638042,0.09008861993658962,0.05340068795077992,-0.22495978560773933,-0.2624141235237151,-0.18750544769176353,-0.22419337967757322,0.18960881430319812,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,60.0,0.8337464586961111,0.48208677343228656,0.40193814013340334,0.05552568542005553,0.00011031450876015231,0.1109410563313509,0.05693137029470901,-0.3464124547133478,-0.4018278256246432,-0.29099708380205247,-0.3450067698386943,0.13814485333894053,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,80.0,0.8750419328284879,0.5676676416183064,0.4967329903258722,0.058737819001926046,-0.002838868399349305,0.1203145064032014,0.060822464459980484,-0.43799517132394616,-0.49957185872522153,-0.3764184839226708,-0.43591052586589174,0.11824827451744693,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,100.0,0.9000045399929762,0.6328339994495595,0.5695534725665162,0.05756482547756626,-0.015424275030794167,0.1305539259859267,0.05983950359763153,-0.51198864708895,-0.5849777475973104,-0.43899954658058954,-0.5097139689688847,0.10107009833188833,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,120.0,0.9166671786843628,0.6832623561226213,0.6263241762881536,0.05014881072753723,-0.03388746180935001,0.13418508326442447,0.053235641197337584,-0.5761753655606164,-0.6602116380975036,-0.49213909302372916,-0.573088535090816,0.08006845755937292,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,140.0,0.928571487966337,0.7229135381206624,0.6712768997637127,0.044808039059897053,-0.05053645372298529,0.1401525318427794,0.04884982925249483,-0.6264688607038157,-0.7218133534866981,-0.5311243679209333,-0.6224270705112179,0.06675045584865104,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,160.0,0.9375000070334484,0.7545789097221836,0.7074177331718389,0.03807462444879153,-0.06922367729935086,0.14537292619693393,0.04306825433245833,-0.6693431087230474,-0.7766414104711897,-0.5620448069749049,-0.6643494788393806,0.05382198192583734,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,180.0,0.9444444452905544,0.7802464436751649,0.7368994196867189,0.03331446387879917,-0.08375272084220442,0.15038164859980274,0.03907683212801025,-0.7035849558079197,-0.8206521405289233,-0.5865177710869162,-0.6978225875587086,0.045208970164425266,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,200.0,0.9500000001030576,0.8013475893998171,0.7612802100124112,0.029283944820008956,-0.09894942661521514,0.15751731625523305,0.03626643902013606,-0.7319962651924022,-0.8602296366276263,-0.6037628937571782,-0.7250137709922752,0.03846670967518194,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,220.0,0.954545454558134,0.8189248675342662,0.7817010099294558,0.028917745189923755,-0.11052810371092668,0.1683635940907742,0.03690147520482166,-0.752783264739532,-0.8922291136403825,-0.6133374158386816,-0.7447995347246341,0.036993357847309706,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,240.0,0.9583333333349063,0.8337464586961111,0.799007022918418,0.02780232180141441,-0.12184270469423562,0.17744734829706443,0.036849978989087165,-0.7712047011170036,-0.9208497276126536,-0.6215596746213535,-0.7621570439293308,0.034796091904004636,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,260.0,0.9615384615386581,0.8463851444912274,0.8138318697032696,0.03026857313588801,-0.13078288332825633,0.19132002960003236,0.04070950465911475,-0.7835632965673816,-0.9446147530315259,-0.6225118401032372,-0.7731223650441549,0.037192661362505014,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,280.0,0.964285714285739,0.8572731259950792,0.8266562286381333,0.033408324786305815,-0.13784989055111835,0.20466654012372998,0.04547801938484147,-0.7932479038518274,-0.9645061191892517,-0.6219896885144033,-0.7811782092532917,0.040413806403351044,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,300.0,0.9666666666666698,0.8667404112493531,0.8378490642077107,0.034959411730511994,-0.14700049485073363,0.2169193183117576,0.048851876406097665,-0.8028896524771987,-0.9848495590584443,-0.6209297458959531,-0.788997187801613,0.04172519039998024,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,320.0,0.9687500000000004,0.8750419328284879,0.847696872427598,0.03610576474146798,-0.1561136699362626,0.22832519941919857,0.05193885490529598,-0.81159110768613,-1.0038105423638606,-0.6193716730083993,-0.795758017522302,0.0425927780505664,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,340.0,0.9705882352941178,0.8823768786316483,0.8564246174954234,0.035659198612052925,-0.1667832843857534,0.23810168160985928,0.05383984534776824,-0.8207654188833705,-1.0232079018811768,-0.6183229358855642,-0.8025847721476552,0.04163728819045009,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,360.0,0.9722222222222222,0.8889026010893429,0.8642108621701945,0.03672602353400872,-0.17404460343710043,0.24749665050511788,0.05745775544162446,-0.8274848386361857,-1.0382554656072949,-0.6167142116650766,-0.80675310672857,0.0424966002414999,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,380.0,0.9736842105263158,0.8947447212452513,0.8711988075282711,0.039268148668132684,-0.1798870700833677,0.25842336741963307,0.06280757583523647,-0.8319306588601384,-1.0510858776116387,-0.612775440108638,-0.8083912316930346,0.045073694234663425,exact_existing_abscissa_no_interpolation,1.7.2
OVL-EPP-01,400.0,0.975,0.9000045399929762,0.8775044264931519,0.04001506762852965,-0.18773590791992903,0.2677660431769883,0.06664534634272759,-0.8374893588646222,-1.065240334413081,-0.6097383833161636,-0.8108590801504243,0.04560098663940123,exact_existing_abscissa_no_interpolation,1.7.2
