meta_order_id,schedule_id,path_index,event_book,side,child_index,operational_step,operational_time_seconds,quantity,cumulative_quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,software_version
v182-slow-p00-b2-s+1,slow,0,1,1,1,341,170.5,0.05,0.1,0.05,0.03998191208934589,0.2944960435874282,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p00-b2-s+1,slow,0,1,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.05672730278264762,0.30980254294899207,"[101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p00-b2-s+1,slow,0,1,1,3,421,210.5,0.05,0.2,0.05,0.0784313838545582,0.33343368561863,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p01-b1-s-1,fast,1,0,-1,0,301,150.5,0.05,0.05,0.05,-0.0019455735266767776,-0.25798902891306996,"[99, 98, 97, 96]",0.05,1.8.2
v182-fast-p01-b1-s-1,fast,1,0,-1,1,311,155.5,0.05,0.1,0.05,-0.08554834421505841,-0.3543010093124833,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-fast-p01-b1-s-1,fast,1,0,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.15217258004129147,-0.4217319562616841,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p01-b1-s-1,fast,1,0,-1,3,331,165.5,0.05,0.2,0.05,-0.2051960110190713,-0.4855967059495418,"[97, 96, 95, 94]",0.05,1.8.2
v182-fast-p01-b1-s+1,fast,1,0,1,0,301,150.5,0.05,0.05,0.05,-0.0019455735266767776,0.25352421666479763,"[100, 101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-fast-p01-b1-s+1,fast,1,0,1,1,311,155.5,0.05,0.1,0.05,0.08431773881421822,0.3526660709689512,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p01-b1-s+1,fast,1,0,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.14229458306466847,0.41415034111532506,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p01-b1-s+1,fast,1,0,1,3,331,165.5,0.05,0.2,0.05,0.19676465950045569,0.4774213397282674,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-fast-p01-b2-s-1,fast,1,1,-1,0,301,150.5,0.05,0.05,0.05,0.0016000668573375313,-0.254021195083865,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p01-b2-s-1,fast,1,1,-1,1,311,155.5,0.05,0.1,0.05,-0.07857450959879554,-0.34529458804728774,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-fast-p01-b2-s-1,fast,1,1,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.14834329273941407,-0.4186152078234759,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p01-b2-s-1,fast,1,1,-1,3,331,165.5,0.05,0.2,0.05,-0.2031045396440128,-0.4836589089331053,"[97, 96, 95, 94]",0.05,1.8.2
v182-fast-p01-b2-s+1,fast,1,1,1,0,301,150.5,0.05,0.05,0.05,0.0016000668573375313,0.2576930664802832,"[101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-fast-p01-b2-s+1,fast,1,1,1,1,311,155.5,0.05,0.1,0.05,0.09128079583990208,0.3616303246138595,"[101, 102, 103, 104, 105]",0.05000000000000001,1.8.2
v182-fast-p01-b2-s+1,fast,1,1,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.14616818859099892,0.41743010924910123,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p01-b2-s+1,fast,1,1,1,3,331,165.5,0.05,0.2,0.05,0.1993226537497929,0.4802764245150907,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-slow-p01-b1-s-1,slow,1,0,-1,0,301,150.5,0.05,0.05,0.05,-0.0019455735266767776,-0.25798902891306996,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p01-b1-s-1,slow,1,0,-1,1,341,170.5,0.05,0.1,0.05,-0.046124148481176824,-0.29968378926417966,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p01-b1-s-1,slow,1,0,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.07723669172082483,-0.33072131464793125,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-slow-p01-b1-s-1,slow,1,0,-1,3,421,210.5,0.05,0.2,0.05,-0.09061769422797947,-0.35006317638882845,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-slow-p01-b1-s+1,slow,1,0,1,0,301,150.5,0.05,0.05,0.05,-0.0019455735266767776,0.25352421666479763,"[100, 101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p01-b1-s+1,slow,1,0,1,1,341,170.5,0.05,0.1,0.05,0.03801780985583148,0.29283691273461965,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p01-b1-s+1,slow,1,0,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.05824376031495203,0.3110646708649832,"[101, 102, 103, 104]",0.05,1.8.2
v182-slow-p01-b1-s+1,slow,1,0,1,3,421,210.5,0.05,0.2,0.05,0.08340521826178254,0.3402304285401932,"[101, 102, 103, 104, 105]",0.05000000000000001,1.8.2
v182-slow-p01-b2-s-1,slow,1,1,-1,0,301,150.5,0.05,0.05,0.05,0.0016000668573375313,-0.254021195083865,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-slow-p01-b2-s-1,slow,1,1,-1,1,341,170.5,0.05,0.1,0.05,-0.04310855837700429,-0.2971375200153015,"[99, 98, 97, 96]",0.05,1.8.2
v182-slow-p01-b2-s-1,slow,1,1,-1,2,381,190.5,0.05,0.15000000000000002,0.05,-0.07407474011566342,-0.32636955398655354,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p01-b2-s-1,slow,1,1,-1,3,421,210.5,0.05,0.2,0.05,-0.0935901742775104,-0.35406360672993864,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-slow-p01-b2-s+1,slow,1,1,1,0,301,150.5,0.05,0.05,0.05,0.0016000668573375313,0.2576930664802832,"[101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p01-b2-s+1,slow,1,1,1,1,341,170.5,0.05,0.1,0.05,0.041048476322555504,0.29540972634647766,"[101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p01-b2-s+1,slow,1,1,1,2,381,190.5,0.05,0.15000000000000002,0.05,0.06139320814080138,0.3136662830858347,"[101, 102, 103, 104]",0.05000000000000001,1.8.2
v182-slow-p01-b2-s+1,slow,1,1,1,3,421,210.5,0.05,0.2,0.05,0.08050557238314555,0.33624417699683895,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p02-b1-s-1,fast,2,0,-1,0,301,150.5,0.05,0.05,0.05,-0.010037942177284223,-0.26494893811917397,"[99, 98, 97, 96]",0.05,1.8.2
v182-fast-p02-b1-s-1,fast,2,0,-1,1,311,155.5,0.05,0.1,0.05,-0.09803678004251844,-0.36971825314310314,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p02-b1-s-1,fast,2,0,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.1641455661815044,-0.4357611866797723,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p02-b1-s-1,fast,2,0,-1,3,331,165.5,0.05,0.2,0.05,-0.220620938228783,-0.49989034113513753,"[97, 96, 95, 94]",0.05,1.8.2
v182-fast-p02-b1-s+1,fast,2,0,1,0,301,150.5,0.05,0.05,0.05,-0.010037942177284223,0.24191125250075196,"[100, 101, 102, 103, 104]",0.05,1.8.2
v182-fast-p02-b1-s+1,fast,2,0,1,1,311,155.5,0.05,0.1,0.05,0.072736358135868,0.3368375992909345,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p02-b1-s+1,fast,2,0,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.13110675157742174,0.4045193284629925,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p02-b1-s+1,fast,2,0,1,3,331,165.5,0.05,0.2,0.05,0.17708568025869173,0.45446406927140653,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-fast-p02-b2-s-1,fast,2,1,-1,0,301,150.5,0.05,0.05,0.05,-0.0042684374757623045,-0.25998718033077534,"[99, 98, 97, 96]",0.05,1.8.2
v182-fast-p02-b2-s-1,fast,2,1,-1,1,311,155.5,0.05,0.1,0.05,-0.08932123590095847,-0.3589808638063331,"[99, 98, 97, 96, 95]",0.05000000000000001,1.8.2
v182-fast-p02-b2-s-1,fast,2,1,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.15052250040951354,-0.4206010271242495,"[98, 97, 96, 95]",0.05,1.8.2
