measurement_domain,observable,lag_index,lag_seconds,mean_autocorrelation,standard_error_across_paths,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,software_version
uniform_operational,log_mid_increment,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
uniform_operational,log_mid_increment,1,5.0,-0.04566980739084785,0.008358225082144441,-0.062051928551850946,-0.029287686229844744,528,2.1.0
uniform_operational,log_mid_increment,2,10.0,-0.009634797479763655,0.007223551994559909,-0.023792959389101077,0.004523364429573767,527,2.1.0
uniform_operational,log_mid_increment,3,15.0,-0.03618511953489003,0.005724054265828727,-0.04740426589591434,-0.024965973173865723,526,2.1.0
uniform_operational,log_mid_increment,4,20.0,-0.024421466473778086,0.004913774732802194,-0.03405246495007039,-0.014790467997485785,525,2.1.0
uniform_operational,log_mid_increment,5,25.0,-0.021817513403907963,0.009564933327618874,-0.04056478272604096,-0.0030702440817749685,524,2.1.0
uniform_operational,log_mid_increment,6,30.0,-0.03516796131747175,0.007235986683428488,-0.049350495216991586,-0.02098542741795191,523,2.1.0
uniform_operational,log_mid_increment,7,35.0,-0.0007414677164585333,0.0036663146105214563,-0.007927444353080588,0.006444508920163521,522,2.1.0
uniform_operational,log_mid_increment,8,40.0,0.004699545354512976,0.008719619950826488,-0.01239090974910694,0.02179000045813289,521,2.1.0
uniform_operational,log_mid_increment,9,45.0,0.0027610537157285895,0.00539765262570748,-0.007818345430658073,0.01334045286211525,520,2.1.0
uniform_operational,log_mid_increment,10,50.0,-0.014481646466700405,0.007490146379708543,-0.029162333370929147,0.00019904043752833923,519,2.1.0
uniform_operational,log_mid_increment,11,55.0,-0.009845136897791686,0.005761677485879451,-0.021138024770115407,0.0014477509745320378,518,2.1.0
uniform_operational,log_mid_increment,12,60.0,-0.01617179589311144,0.009017897420107057,-0.033846874836521275,0.0015032830502983915,517,2.1.0
uniform_operational,log_mid_increment,13,65.0,-0.015803891066497093,0.008698634148632315,-0.03285321399781643,0.0012454318648222433,516,2.1.0
uniform_operational,log_mid_increment,14,70.0,-0.009896097907340175,0.006112373305264621,-0.02187634958565883,0.0020841537709784825,515,2.1.0
uniform_operational,log_mid_increment,15,75.0,0.002905808960937788,0.008627003227637261,-0.014003117365231244,0.019814735287106817,514,2.1.0
uniform_operational,log_mid_increment,16,80.0,0.0010229958199792725,0.0061629174442533125,-0.01105632237075722,0.013102314010715765,513,2.1.0
uniform_operational,log_mid_increment,17,85.0,-0.003967833885092507,0.007553140567894223,-0.018771989398165184,0.010836321627980169,512,2.1.0
uniform_operational,log_mid_increment,18,90.0,-0.0034581953634179215,0.008884802699774876,-0.02087240865497668,0.013956017928140836,511,2.1.0
uniform_operational,log_mid_increment,19,95.0,-0.0034692373001409425,0.0072916926597883895,-0.017760954913326184,0.010822480313044301,510,2.1.0
uniform_operational,log_mid_increment,20,100.0,0.005300678490717038,0.00748736375050776,-0.00937455446027817,0.019975911441712246,509,2.1.0
uniform_operational,log_mid_increment,21,105.0,-0.003855657439519364,0.0053732851914156205,-0.01438729641469398,0.006675981535655252,508,2.1.0
uniform_operational,log_mid_increment,22,110.0,-0.019339709301636452,0.0075976124079301655,-0.034231029621179576,-0.004448388982093328,507,2.1.0
uniform_operational,log_mid_increment,23,115.0,0.006891326634791086,0.009591974404946246,-0.011908943198903557,0.025691596468485726,506,2.1.0
uniform_operational,log_mid_increment,24,120.0,-0.008963876300541369,0.006708789877383012,-0.02211310446021207,0.004185351859129336,505,2.1.0
uniform_operational,log_mid_increment,25,125.0,-0.011199637739141226,0.010051769248631394,-0.030901105466458755,0.008501829988176304,504,2.1.0
uniform_operational,log_mid_increment,26,130.0,-0.007715177477644443,0.007902509987319287,-0.023204097052790244,0.00777374209750136,503,2.1.0
uniform_operational,log_mid_increment,27,135.0,-0.004363160154915822,0.008707971884202302,-0.021430785047952334,0.012704464738120692,502,2.1.0
uniform_operational,log_mid_increment,28,140.0,-0.006194181146721952,0.006154144309088512,-0.018256303992535437,0.005867941699091531,501,2.1.0
uniform_operational,log_mid_increment,29,145.0,0.004638081046821854,0.007402374783105245,-0.009870573528064426,0.019146735621708134,500,2.1.0
uniform_operational,log_mid_increment,30,150.0,0.0006849910433446814,0.005859115640140955,-0.01079887561133159,0.012168857698020953,499,2.1.0
uniform_operational,log_mid_increment,31,155.0,-0.004287838315177383,0.007745178063760928,-0.0194683873201488,0.010892710689794036,498,2.1.0
uniform_operational,log_mid_increment,32,160.0,0.008300542450499316,0.004928865395127203,-0.0013600337239500007,0.017961118624948633,497,2.1.0
uniform_operational,log_mid_increment,33,165.0,-0.01893878396419379,0.010471425169026617,-0.03946277729548596,0.0015852093670983766,496,2.1.0
uniform_operational,log_mid_increment,34,170.0,-0.0046089680068461415,0.006108697485028224,-0.016582015077501462,0.0073640790638091775,495,2.1.0
uniform_operational,log_mid_increment,35,175.0,-0.009320027556754895,0.008249078987830926,-0.02548822237290351,0.006848167259393719,494,2.1.0
uniform_operational,log_mid_increment,36,180.0,-0.014648234312354649,0.0055130250878294125,-0.0254537634845003,-0.0038427051402090007,493,2.1.0
uniform_operational,log_mid_increment,37,185.0,0.0011266891827260554,0.00686578969864343,-0.012330258626615067,0.014583636992067177,492,2.1.0
uniform_operational,log_mid_increment,38,190.0,0.0013417038154238299,0.006523890701499967,-0.011445121959516105,0.014128529590363766,491,2.1.0
uniform_operational,log_mid_increment,39,195.0,-7.46713048417392e-05,0.004736298223427456,-0.009357815822759553,0.009208473213076076,490,2.1.0
uniform_operational,log_mid_increment,40,200.0,0.022982263440303935,0.009724054136645798,0.00392311733247817,0.042041409548129696,489,2.1.0
uniform_operational,absolute_log_mid_increment,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
uniform_operational,absolute_log_mid_increment,1,5.0,-0.019454352744036167,0.01107290904157845,-0.041157254465529924,0.0022485489774575936,528,2.1.0
uniform_operational,absolute_log_mid_increment,2,10.0,-0.00019182702002215157,0.005887654131746569,-0.011731629118245426,0.011347975078201124,527,2.1.0
uniform_operational,absolute_log_mid_increment,3,15.0,-0.03043555071477555,0.010149577087760151,-0.05032872180678545,-0.010542379622765653,526,2.1.0
uniform_operational,absolute_log_mid_increment,4,20.0,-0.010980510650248416,0.007071970229200049,-0.024841572299480513,0.0028805509989836796,525,2.1.0
uniform_operational,absolute_log_mid_increment,5,25.0,-0.00410909990247248,0.005355579530008724,-0.014606035781289578,0.006387835976344618,524,2.1.0
uniform_operational,absolute_log_mid_increment,6,30.0,0.004934799190958484,0.00812113168079992,-0.010982618903409357,0.020852217285326328,523,2.1.0
uniform_operational,absolute_log_mid_increment,7,35.0,0.0072770858122491195,0.008281790724316498,-0.008955224007411217,0.023509395631909458,522,2.1.0
uniform_operational,absolute_log_mid_increment,8,40.0,-0.005634645182351426,0.006561275828176325,-0.01849474580557702,0.007225455440874171,521,2.1.0
uniform_operational,absolute_log_mid_increment,9,45.0,-0.01537291470827572,0.0058530030511069215,-0.02684480068844529,-0.0039010287281061543,520,2.1.0
uniform_operational,absolute_log_mid_increment,10,50.0,0.0015470696845683743,0.009140431944638778,-0.01636817692692363,0.01946231629606038,519,2.1.0
uniform_operational,absolute_log_mid_increment,11,55.0,-0.0056168152953103324,0.00855666519927362,-0.022387879085886627,0.011154248495265962,518,2.1.0
uniform_operational,absolute_log_mid_increment,12,60.0,-0.013016929159590332,0.007740129554599638,-0.02818758308660562,0.002153724767424958,517,2.1.0
uniform_operational,absolute_log_mid_increment,13,65.0,-0.020040640069536077,0.003675116865980648,-0.027243869126858146,-0.012837411012214008,516,2.1.0
uniform_operational,absolute_log_mid_increment,14,70.0,0.004534057109090627,0.00649699167084493,-0.008200046565765434,0.01726816078394669,515,2.1.0
uniform_operational,absolute_log_mid_increment,15,75.0,-0.005589057993622902,0.007666592597293708,-0.02061557948431857,0.009437463497072765,514,2.1.0
uniform_operational,absolute_log_mid_increment,16,80.0,-0.006355173211977649,0.006523531849725294,-0.019141295637439226,0.006430949213483927,513,2.1.0
uniform_operational,absolute_log_mid_increment,17,85.0,0.003249804441813496,0.009034726367727123,-0.014458259238931665,0.02095786812255866,512,2.1.0
uniform_operational,absolute_log_mid_increment,18,90.0,0.012195717266599466,0.0061235235192398955,0.00019361116888927214,0.02419782336430966,511,2.1.0
uniform_operational,absolute_log_mid_increment,19,95.0,-0.010080967368014967,0.006915307332272795,-0.023634969739269644,0.0034730350032397116,510,2.1.0
uniform_operational,absolute_log_mid_increment,20,100.0,0.006841265969773138,0.008089250191051183,-0.009013664404687179,0.022696196344233456,509,2.1.0
uniform_operational,absolute_log_mid_increment,21,105.0,-0.004077118328027962,0.007517981926729166,-0.018812362904417124,0.010658126248361202,508,2.1.0
uniform_operational,absolute_log_mid_increment,22,110.0,0.006545472331270645,0.006089634033932379,-0.005390210375236817,0.018481155037778106,507,2.1.0
uniform_operational,absolute_log_mid_increment,23,115.0,-0.02118369883577696,0.008019058288072246,-0.03690105308039856,-0.005466344591155359,506,2.1.0
uniform_operational,absolute_log_mid_increment,24,120.0,-0.00517033508890148,0.0072302014025065415,-0.0193415298378143,0.00900085966001134,505,2.1.0
uniform_operational,absolute_log_mid_increment,25,125.0,-0.0036670215655145,0.0063949289607103076,-0.016201082328506703,0.008867039197477701,504,2.1.0
uniform_operational,absolute_log_mid_increment,26,130.0,0.015087470144951723,0.006753141595316013,0.0018513126181323378,0.028323627671771108,503,2.1.0
uniform_operational,absolute_log_mid_increment,27,135.0,0.004077150179106431,0.0064609487970402986,-0.008586309463092554,0.016740609821305416,502,2.1.0
uniform_operational,absolute_log_mid_increment,28,140.0,-0.019693512105211468,0.00640033840069141,-0.03223817537056663,-0.007148848839856305,501,2.1.0
uniform_operational,absolute_log_mid_increment,29,145.0,-0.008896435388194674,0.008706157980514226,-0.025960505030002558,0.008167634253613209,500,2.1.0
uniform_operational,absolute_log_mid_increment,30,150.0,-0.0034636516907568986,0.010902870821031295,-0.024833278499978236,0.01790597511846444,499,2.1.0
uniform_operational,absolute_log_mid_increment,31,155.0,0.01702588491385424,0.0026960694687530257,0.011741588755098311,0.02231018107261017,498,2.1.0
uniform_operational,absolute_log_mid_increment,32,160.0,-0.0050722744574855485,0.006698894664326111,-0.018202107999564725,0.00805755908459363,497,2.1.0
uniform_operational,absolute_log_mid_increment,33,165.0,-0.010599902003701478,0.007937759579224386,-0.026157910778981275,0.004958106771578319,496,2.1.0
uniform_operational,absolute_log_mid_increment,34,170.0,0.014421106733575075,0.008058517858563985,-0.0013735882692103366,0.030215801736360487,495,2.1.0
uniform_operational,absolute_log_mid_increment,35,175.0,0.00745717831538327,0.004949419093956049,-0.002243683108770586,0.017158039739537126,494,2.1.0
uniform_operational,absolute_log_mid_increment,36,180.0,0.0012156348919472402,0.006308963343971911,-0.011149933262237705,0.013581203046132185,493,2.1.0
uniform_operational,absolute_log_mid_increment,37,185.0,-0.005711398538511998,0.007303377926073507,-0.020026019273616073,0.008603222196592075,492,2.1.0
uniform_operational,absolute_log_mid_increment,38,190.0,0.009111080090300466,0.004245027304800998,0.000790826572890509,0.017431333607710424,491,2.1.0
uniform_operational,absolute_log_mid_increment,39,195.0,-0.009429728311186162,0.0053655447681102775,-0.019946196056682304,0.0010867394343099818,490,2.1.0
uniform_operational,absolute_log_mid_increment,40,200.0,0.005374644408887467,0.005350985768460636,-0.0051132876972953805,0.015862576515070316,489,2.1.0
uniform_operational,declared_aggressor_signed_flow,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
uniform_operational,declared_aggressor_signed_flow,1,5.0,0.15935099847728687,0.005738659769867045,0.14810322532834747,0.17059877162622628,528,2.1.0
uniform_operational,declared_aggressor_signed_flow,2,10.0,0.10356483407370623,0.009141613326638043,0.08564727195349567,0.12148239619391679,527,2.1.0
uniform_operational,declared_aggressor_signed_flow,3,15.0,0.0847230045957144,0.007346696949935202,0.0703234785738414,0.0991225306175874,526,2.1.0
uniform_operational,declared_aggressor_signed_flow,4,20.0,0.07444435785590309,0.004554123072385555,0.0655182766340274,0.08337043907777877,525,2.1.0
uniform_operational,declared_aggressor_signed_flow,5,25.0,0.05923348375567715,0.0061896632600318986,0.04710174376601463,0.07136522374533967,524,2.1.0
uniform_operational,declared_aggressor_signed_flow,6,30.0,0.04505836299618096,0.006074398574656747,0.03315254178985374,0.056964184202508185,523,2.1.0
uniform_operational,declared_aggressor_signed_flow,7,35.0,0.026439958692017974,0.00963709698814406,0.007551248595255619,0.04532866878878033,522,2.1.0
uniform_operational,declared_aggressor_signed_flow,8,40.0,0.03447878250550044,0.003716019004608057,0.027195385256468647,0.04176217975453223,521,2.1.0
uniform_operational,declared_aggressor_signed_flow,9,45.0,0.023014421254362854,0.006720329418659678,0.009842575593789886,0.03618626691493582,520,2.1.0
uniform_operational,declared_aggressor_signed_flow,10,50.0,0.023670847558094343,0.005289712161731282,0.01330301172110103,0.03403868339508766,519,2.1.0
uniform_operational,declared_aggressor_signed_flow,11,55.0,0.004431055611229047,0.004805457551473008,-0.004987641189658048,0.013849752412116143,518,2.1.0
uniform_operational,declared_aggressor_signed_flow,12,60.0,-0.007758848555131297,0.009976659992809573,-0.02731310214103806,0.011795405030775464,517,2.1.0
uniform_operational,declared_aggressor_signed_flow,13,65.0,-0.024088250651792494,0.009334849993712735,-0.04238455663946945,-0.005791944664115534,516,2.1.0
uniform_operational,declared_aggressor_signed_flow,14,70.0,-0.010721461569801987,0.0070378919347419,-0.02451572976189611,0.003072806622292137,515,2.1.0
uniform_operational,declared_aggressor_signed_flow,15,75.0,-0.021097383083960457,0.007605632538407286,-0.03600442285923874,-0.006190343308682178,514,2.1.0
uniform_operational,declared_aggressor_signed_flow,16,80.0,-0.030988889364730095,0.009614628939472668,-0.049833562086096524,-0.012144216643363667,513,2.1.0
uniform_operational,declared_aggressor_signed_flow,17,85.0,-0.03251583110785865,0.009437370052381305,-0.051013076410526006,-0.014018585805191292,512,2.1.0
uniform_operational,declared_aggressor_signed_flow,18,90.0,-0.02494613166520148,0.004303862897705866,-0.03338170294470498,-0.016510560385697984,511,2.1.0
uniform_operational,declared_aggressor_signed_flow,19,95.0,-0.029105897857955327,0.006588108513185379,-0.04201859054379867,-0.016193205172111983,510,2.1.0
uniform_operational,declared_aggressor_signed_flow,20,100.0,-0.018691079528923404,0.007762925716811263,-0.033906413933873475,-0.0034757451239733304,509,2.1.0
uniform_operational,declared_aggressor_signed_flow,21,105.0,-0.019940707803699873,0.00857370818393003,-0.03674517584420273,-0.003136239763197015,508,2.1.0
uniform_operational,declared_aggressor_signed_flow,22,110.0,-0.02518575556779451,0.004702888807648914,-0.03440341763078638,-0.01596809350480264,507,2.1.0
uniform_operational,declared_aggressor_signed_flow,23,115.0,-0.011423565075291083,0.01072105076651911,-0.03243682457766854,0.009589694427086373,506,2.1.0
uniform_operational,declared_aggressor_signed_flow,24,120.0,-0.012090576405488176,0.010186661817814465,-0.03205643356840453,0.007875280757428174,505,2.1.0
uniform_operational,declared_aggressor_signed_flow,25,125.0,0.013417661257874719,0.0057378564046582006,0.0021714627047446453,0.024663859811004794,504,2.1.0
uniform_operational,declared_aggressor_signed_flow,26,130.0,0.005444749003444282,0.0056205968077826145,-0.005571620739809642,0.016461118746698207,503,2.1.0
uniform_operational,declared_aggressor_signed_flow,27,135.0,-0.006049500436618322,0.006956514716772932,-0.01968426928149327,0.007585268408256624,502,2.1.0
uniform_operational,declared_aggressor_signed_flow,28,140.0,-0.009055752742693383,0.00773831075876316,-0.024222841829869175,0.00611133634448241,501,2.1.0
uniform_operational,declared_aggressor_signed_flow,29,145.0,-0.0018388781936268988,0.011019462757310567,-0.02343702519795561,0.019759268810701815,500,2.1.0
uniform_operational,declared_aggressor_signed_flow,30,150.0,-0.02445854353944199,0.009038732931177339,-0.04217446008454957,-0.006742626994334405,499,2.1.0
uniform_operational,declared_aggressor_signed_flow,31,155.0,-0.011388586313965627,0.008577202946365907,-0.028199904088842803,0.005422731460911549,498,2.1.0
uniform_operational,declared_aggressor_signed_flow,32,160.0,0.007250661519400405,0.005595594021100283,-0.0037167027619561498,0.01821802580075696,497,2.1.0
uniform_operational,declared_aggressor_signed_flow,33,165.0,0.00690351318576128,0.007121133097901963,-0.007053907686126569,0.020860934057649126,496,2.1.0
uniform_operational,declared_aggressor_signed_flow,34,170.0,0.006143521608823594,0.009760563748815535,-0.012987183338854853,0.025274226556502043,495,2.1.0
uniform_operational,declared_aggressor_signed_flow,35,175.0,0.014889576051748243,0.011795673895365578,-0.00822994478316829,0.038009096886664775,494,2.1.0
uniform_operational,declared_aggressor_signed_flow,36,180.0,0.011107499507049036,0.010198500473292378,-0.008881561420604025,0.031096560434702096,493,2.1.0
uniform_operational,declared_aggressor_signed_flow,37,185.0,0.00027651578378078015,0.011391112426270224,-0.02205006457170886,0.02260309613927042,492,2.1.0
uniform_operational,declared_aggressor_signed_flow,38,190.0,0.005566170384949965,0.012218001878898257,-0.01838111329769062,0.029513454067590546,491,2.1.0
uniform_operational,declared_aggressor_signed_flow,39,195.0,0.00312027391393792,0.007894622389781975,-0.01235318597003475,0.01859373379791059,490,2.1.0
uniform_operational,declared_aggressor_signed_flow,40,200.0,0.00632854144070921,0.009205592711908217,-0.011714420274630894,0.02437150315604931,489,2.1.0
