check_id,finding_id,check,observed,expected,absolute_error,tolerance,status,software_version
IN-01,PA-07,book-one sigma applied once,2.0,2.0,0.0,5e-16,Verified,1.3.5
IN-02,PA-07,book-two sigma applied once,0.5,0.5,0.0,2e-16,Verified,1.3.5
IN-03,PA-08,independent operational covariance,-4.163336342344337e-17,0.0,4.163336342344337e-17,2e-16,Verified,1.3.5
IN-04,PA-08,declared operational correlation,0.5999999999999999,0.6,1.1102230246251565e-16,3e-16,Verified,1.3.5
IN-05,PA-08,shared forcing endpoint,0.0,0.0,0.0,0.0,Verified,1.3.5
IN-06,PA-08,antithetic forcing endpoint,0.0,0.0,0.0,0.0,Verified,1.3.5
IN-07,PA-07,bounded DTRW jump bias,0.0,0.0,0.0,0.0,Verified,1.3.5
IN-08,PA-07,transport weights normalized,1.1102230246251565e-16,0.0,1.1102230246251565e-16,2e-16,Verified,1.3.5
