check_id,claim,observed,criterion,status,software_version
F13-145,panel d inter-axis text collisions,0,0,Verified,2.1.0
F13-146,panel e PNG dimensions,"[1200, 1200]",1200 x 1200,Verified,2.1.0
F13-147,panel e PDF page,"[288, 288]",288 x 288 points,Verified,2.1.0
F13-148,panel e data,True,present,Verified,2.1.0
F13-149,panel e text lies inside canvas,True,true,Verified,2.1.0
F13-150,panel e inter-axis text collisions,0,0,Verified,2.1.0
F13-151,panel f PNG dimensions,"[1200, 1200]",1200 x 1200,Verified,2.1.0
F13-152,panel f PDF page,"[288, 288]",288 x 288 points,Verified,2.1.0
F13-153,panel f data,True,present,Verified,2.1.0
F13-154,panel f text lies inside canvas,True,true,Verified,2.1.0
F13-155,panel f inter-axis text collisions,0,0,Verified,2.1.0
F13-156,assembled PNG dimensions,"[3600, 2400]",3600 x 2400,Verified,2.1.0
F13-157,assembled PDF page,"[864, 576]",864 x 576 points,Verified,2.1.0
F13-158,legacy raster used as data,False,false,Verified,2.1.0
F13-159,empirical row claimed,False,false,Verified,2.1.0
F13-160,micro-price constructed,False,false,Verified,2.1.0
F13-161,model parameter refit,False,false,Verified,2.1.0
F13-162,accepted inputs unchanged after run,{},no errors,Verified,2.1.0
